#  step      rmse_val    rmse_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 122550      1.03e+01    8.71e-01      1.50e+00    1.27e-01    2.3e-05
 122560      9.16e+00    9.61e-01      1.33e+00    1.40e-01    2.3e-05
 122570      1.09e+01    8.60e-01      1.58e+00    1.25e-01    2.3e-05
 122580      9.34e+00    1.03e+00      1.36e+00    1.50e-01    2.3e-05
 122590      1.14e+01    7.93e-01      1.66e+00    1.15e-01    2.3e-05
 122600      1.07e+01    6.76e-01      1.55e+00    9.82e-02    2.3e-05
 122610      1.10e+01    7.47e-01      1.60e+00    1.09e-01    2.3e-05
 122620      1.34e+01    9.94e-01      1.94e+00    1.44e-01    2.3e-05
 122630      1.08e+01    8.58e-01      1.57e+00    1.25e-01    2.3e-05
 122640      1.08e+01    1.27e+00      1.56e+00    1.84e-01    2.3e-05
 122650      1.09e+01    1.53e+00      1.58e+00    2.22e-01    2.3e-05
 122660      1.09e+01    1.01e+00      1.59e+00    1.46e-01    2.3e-05
 122670      9.95e+00    8.48e-01      1.45e+00    1.23e-01    2.3e-05
 122680      1.22e+01    7.23e-01      1.78e+00    1.05e-01    2.3e-05
 122690      1.04e+01    9.67e-01      1.51e+00    1.40e-01    2.3e-05
 122700      1.12e+01    8.20e-01      1.63e+00    1.19e-01    2.3e-05
 122710      1.03e+01    2.02e+00      1.49e+00    2.93e-01    2.3e-05
 122720      1.09e+01    1.23e+00      1.58e+00    1.79e-01    2.3e-05
 122730      1.04e+01    9.08e-01      1.51e+00    1.32e-01    2.3e-05
 122740      1.01e+01    9.10e-01      1.47e+00    1.32e-01    2.3e-05
 122750      1.02e+01    1.78e+00      1.49e+00    2.59e-01    2.3e-05
 122760      1.01e+01    8.28e-01      1.46e+00    1.20e-01    2.3e-05
 122770      1.23e+01    1.14e+00      1.79e+00    1.66e-01    2.3e-05
 122780      1.11e+01    8.47e-01      1.62e+00    1.23e-01    2.3e-05
 122790      1.15e+01    1.15e+00      1.67e+00    1.67e-01    2.3e-05
 122800      1.02e+01    6.72e-01      1.48e+00    9.77e-02    2.3e-05
 122810      1.07e+01    7.47e-01      1.56e+00    1.08e-01    2.3e-05
 122820      1.00e+01    1.33e+00      1.45e+00    1.93e-01    2.3e-05
 122830      1.11e+01    9.18e-01      1.62e+00    1.33e-01    2.3e-05
 122840      1.08e+01    9.91e-01      1.56e+00    1.44e-01    2.3e-05
 122850      1.12e+01    1.54e+00      1.63e+00    2.24e-01    2.3e-05
 122860      9.72e+00    7.83e-01      1.41e+00    1.14e-01    2.3e-05
 122870      1.16e+01    8.24e-01      1.68e+00    1.20e-01    2.3e-05
 122880      1.18e+01    1.40e+00      1.71e+00    2.03e-01    2.3e-05
 122890      1.01e+01    1.69e+00      1.47e+00    2.46e-01    2.3e-05
 122900      1.15e+01    4.97e-01      1.67e+00    7.21e-02    2.3e-05
 122910      1.00e+01    1.44e+00      1.46e+00    2.09e-01    2.3e-05
 122920      1.01e+01    1.35e+00      1.47e+00    1.96e-01    2.3e-05
 122930      9.82e+00    8.50e-01      1.43e+00    1.23e-01    2.3e-05
 122940      1.09e+01    9.29e-01      1.59e+00    1.35e-01    2.3e-05
 122950      9.28e+00    9.30e-01      1.35e+00    1.35e-01    2.3e-05
 122960      1.01e+01    1.11e+00      1.47e+00    1.61e-01    2.3e-05
 122970      9.82e+00    9.50e-01      1.43e+00    1.38e-01    2.3e-05
 122980      9.38e+00    1.37e+00      1.36e+00    1.99e-01    2.3e-05
 122990      9.96e+00    1.27e+00      1.45e+00    1.84e-01    2.3e-05
 123000      1.12e+01    8.71e-01      1.63e+00    1.27e-01    2.3e-05
 123010      1.08e+01    5.00e-01      1.57e+00    7.27e-02    2.3e-05
 123020      1.07e+01    9.62e-01      1.56e+00    1.40e-01    2.3e-05
 123030      1.12e+01    7.83e-01      1.63e+00    1.14e-01    2.3e-05
 123040      1.20e+01    1.16e+00      1.74e+00    1.68e-01    2.3e-05
 123050      1.14e+01    1.44e+00      1.65e+00    2.09e-01    2.3e-05
 123060      1.13e+01    1.58e+00      1.65e+00    2.30e-01    2.3e-05
 123070      1.03e+01    9.65e-01      1.50e+00    1.40e-01    2.3e-05
 123080      1.02e+01    8.21e-01      1.49e+00    1.19e-01    2.3e-05
 123090      1.07e+01    9.70e-01      1.56e+00    1.41e-01    2.3e-05
 123100      1.07e+01    1.09e+00      1.56e+00    1.59e-01    2.3e-05
 123110      1.18e+01    1.47e+00      1.72e+00    2.13e-01    2.3e-05
 123120      1.13e+01    1.09e+00      1.65e+00    1.58e-01    2.3e-05
 123130      1.03e+01    8.94e-01      1.50e+00    1.30e-01    2.3e-05
 123140      1.02e+01    1.18e+00      1.49e+00    1.72e-01    2.3e-05
 123150      1.28e+01    8.71e-01      1.86e+00    1.27e-01    2.3e-05
 123160      9.19e+00    9.90e-01      1.33e+00    1.44e-01    2.3e-05
 123170      1.13e+01    9.42e-01      1.64e+00    1.37e-01    2.3e-05
 123180      1.24e+01    1.50e+00      1.80e+00    2.17e-01    2.3e-05
 123190      1.08e+01    1.69e+00      1.57e+00    2.45e-01    2.3e-05
 123200      1.02e+01    5.77e-01      1.48e+00    8.38e-02    2.3e-05
 123210      1.09e+01    6.85e-01      1.58e+00    9.95e-02    2.3e-05
 123220      9.93e+00    7.57e-01      1.44e+00    1.10e-01    2.3e-05
 123230      1.06e+01    6.81e-01      1.54e+00    9.89e-02    2.3e-05
 123240      1.03e+01    1.21e+00      1.49e+00    1.75e-01    2.3e-05
 123250      1.05e+01    9.43e-01      1.52e+00    1.37e-01    2.3e-05
 123260      9.68e+00    8.11e-01      1.41e+00    1.18e-01    2.3e-05
 123270      1.09e+01    8.32e-01      1.58e+00    1.21e-01    2.3e-05
 123280      1.12e+01    6.56e-01      1.62e+00    9.53e-02    2.3e-05
 123290      9.91e+00    1.11e+00      1.44e+00    1.61e-01    2.3e-05
 123300      1.16e+01    1.38e+00      1.69e+00    2.00e-01    2.3e-05
 123310      1.14e+01    1.25e+00      1.66e+00    1.81e-01    2.3e-05
 123320      1.03e+01    5.42e-01      1.50e+00    7.88e-02    2.3e-05
 123330      9.69e+00    9.45e-01      1.41e+00    1.37e-01    2.3e-05
 123340      1.29e+01    1.36e+00      1.88e+00    1.98e-01    2.3e-05
 123350      9.48e+00    8.03e-01      1.38e+00    1.17e-01    2.3e-05
 123360      9.51e+00    1.24e+00      1.38e+00    1.80e-01    2.3e-05
 123370      1.07e+01    6.41e-01      1.55e+00    9.31e-02    2.3e-05
 123380      1.03e+01    9.53e-01      1.50e+00    1.38e-01    2.3e-05
 123390      1.08e+01    1.01e+00      1.57e+00    1.47e-01    2.3e-05
 123400      1.24e+01    8.91e-01      1.80e+00    1.29e-01    2.3e-05
 123410      1.03e+01    1.44e+00      1.50e+00    2.09e-01    2.3e-05
 123420      1.05e+01    6.79e-01      1.53e+00    9.86e-02    2.3e-05
 123430      1.14e+01    1.30e+00      1.65e+00    1.88e-01    2.3e-05
 123440      9.19e+00    1.34e+00      1.33e+00    1.94e-01    2.3e-05
 123450      9.04e+00    6.16e-01      1.31e+00    8.95e-02    2.3e-05
 123460      1.07e+01    1.34e+00      1.56e+00    1.95e-01    2.3e-05
 123470      9.42e+00    1.45e+00      1.37e+00    2.10e-01    2.3e-05
 123480      9.26e+00    1.05e+00      1.35e+00    1.53e-01    2.3e-05
 123490      1.12e+01    1.13e+00      1.63e+00    1.63e-01    2.3e-05
 123500      1.39e+01    6.29e-01      2.02e+00    9.13e-02    2.3e-05
 123510      9.84e+00    9.24e-01      1.43e+00    1.34e-01    2.3e-05
 123520      1.18e+01    1.25e+00      1.72e+00    1.82e-01    2.3e-05
 123530      1.13e+01    7.86e-01      1.64e+00    1.14e-01    2.3e-05
 123540      1.03e+01    7.24e-01      1.49e+00    1.05e-01    2.3e-05
 123550      9.07e+00    1.09e+00      1.32e+00    1.59e-01    2.3e-05
 123560      1.08e+01    8.02e-01      1.56e+00    1.17e-01    2.3e-05
 123570      1.01e+01    7.38e-01      1.46e+00    1.07e-01    2.3e-05
 123580      9.75e+00    9.86e-01      1.42e+00    1.43e-01    2.3e-05
 123590      1.07e+01    1.12e+00      1.55e+00    1.62e-01    2.3e-05
 123600      1.13e+01    1.44e+00      1.65e+00    2.09e-01    2.3e-05
 123610      1.03e+01    6.92e-01      1.50e+00    1.01e-01    2.3e-05
 123620      1.22e+01    6.57e-01      1.77e+00    9.55e-02    2.3e-05
 123630      1.03e+01    8.73e-01      1.49e+00    1.27e-01    2.3e-05
 123640      1.17e+01    9.81e-01      1.69e+00    1.43e-01    2.3e-05
 123650      9.89e+00    1.65e+00      1.44e+00    2.40e-01    2.3e-05
 123660      9.46e+00    8.76e-01      1.37e+00    1.27e-01    2.3e-05
 123670      8.16e+00    8.27e-01      1.19e+00    1.20e-01    2.3e-05
 123680      1.18e+01    9.13e-01      1.71e+00    1.33e-01    2.3e-05
 123690      1.04e+01    8.44e-01      1.51e+00    1.23e-01    2.3e-05
 123700      1.13e+01    1.41e+00      1.64e+00    2.05e-01    2.3e-05
 123710      8.26e+00    1.31e+00      1.20e+00    1.91e-01    2.3e-05
 123720      9.80e+00    1.01e+00      1.42e+00    1.47e-01    2.3e-05
 123730      1.04e+01    7.78e-01      1.52e+00    1.13e-01    2.3e-05
 123740      1.02e+01    1.68e+00      1.48e+00    2.43e-01    2.3e-05
 123750      1.12e+01    1.94e+00      1.63e+00    2.82e-01    2.3e-05
 123760      1.20e+01    1.30e+00      1.74e+00    1.89e-01    2.3e-05
 123770      9.89e+00    1.24e+00      1.44e+00    1.80e-01    2.3e-05
 123780      1.05e+01    9.62e-01      1.52e+00    1.40e-01    2.3e-05
 123790      1.01e+01    9.84e-01      1.46e+00    1.43e-01    2.3e-05
 123800      1.06e+01    5.10e-01      1.54e+00    7.41e-02    2.3e-05
 123810      1.05e+01    1.10e+00      1.53e+00    1.59e-01    2.3e-05
 123820      1.31e+01    1.87e+00      1.90e+00    2.72e-01    2.3e-05
 123830      9.63e+00    1.04e+00      1.40e+00    1.51e-01    2.3e-05
 123840      9.87e+00    9.51e-01      1.43e+00    1.38e-01    2.3e-05
 123850      1.20e+01    1.03e+00      1.75e+00    1.50e-01    2.3e-05
 123860      1.09e+01    1.38e+00      1.59e+00    2.00e-01    2.3e-05
 123870      1.08e+01    7.46e-01      1.57e+00    1.08e-01    2.3e-05
 123880      1.09e+01    8.46e-01      1.58e+00    1.23e-01    2.3e-05
 123890      1.21e+01    1.08e+00      1.76e+00    1.57e-01    2.3e-05
 123900      9.73e+00    8.09e-01      1.41e+00    1.17e-01    2.3e-05
 123910      1.16e+01    9.30e-01      1.68e+00    1.35e-01    2.3e-05
 123920      1.15e+01    1.34e+00      1.68e+00    1.95e-01    2.3e-05
 123930      1.13e+01    1.04e+00      1.64e+00    1.52e-01    2.3e-05
 123940      1.10e+01    8.54e-01      1.60e+00    1.24e-01    2.3e-05
 123950      1.12e+01    6.55e-01      1.62e+00    9.52e-02    2.3e-05
 123960      1.03e+01    6.67e-01      1.49e+00    9.69e-02    2.3e-05
 123970      1.13e+01    1.02e+00      1.64e+00    1.48e-01    2.3e-05
 123980      1.07e+01    1.20e+00      1.55e+00    1.74e-01    2.3e-05
 123990      9.66e+00    1.25e+00      1.40e+00    1.81e-01    2.3e-05
 124000      1.12e+01    6.54e-01      1.63e+00    9.50e-02    2.3e-05
 124010      1.13e+01    1.61e+00      1.64e+00    2.34e-01    2.3e-05
 124020      1.07e+01    1.45e+00      1.56e+00    2.11e-01    2.3e-05
 124030      9.92e+00    1.09e+00      1.44e+00    1.58e-01    2.3e-05
 124040      1.03e+01    1.06e+00      1.50e+00    1.55e-01    2.3e-05
 124050      1.06e+01    9.19e-01      1.53e+00    1.34e-01    2.3e-05
 124060      1.12e+01    1.32e+00      1.63e+00    1.92e-01    2.3e-05
 124070      9.66e+00    9.20e-01      1.40e+00    1.34e-01    2.3e-05
 124080      9.91e+00    6.83e-01      1.44e+00    9.92e-02    2.3e-05
 124090      9.68e+00    6.66e-01      1.41e+00    9.67e-02    2.3e-05
 124100      1.30e+01    1.06e+00      1.89e+00    1.53e-01    2.3e-05
 124110      1.08e+01    1.37e+00      1.57e+00    1.99e-01    2.3e-05
 124120      1.03e+01    7.78e-01      1.49e+00    1.13e-01    2.3e-05
 124130      1.12e+01    9.87e-01      1.62e+00    1.43e-01    2.3e-05
 124140      9.92e+00    7.76e-01      1.44e+00    1.13e-01    2.3e-05
 124150      1.01e+01    2.20e+00      1.47e+00    3.19e-01    2.3e-05
 124160      9.45e+00    1.05e+00      1.37e+00    1.53e-01    2.3e-05
 124170      1.16e+01    5.68e-01      1.69e+00    8.24e-02    2.3e-05
 124180      1.11e+01    1.65e+00      1.61e+00    2.40e-01    2.3e-05
 124190      1.20e+01    8.40e-01      1.75e+00    1.22e-01    2.3e-05
 124200      1.18e+01    7.01e-01      1.71e+00    1.02e-01    2.3e-05
 124210      9.70e+00    1.15e+00      1.41e+00    1.66e-01    2.3e-05
 124220      8.98e+00    7.38e-01      1.30e+00    1.07e-01    2.3e-05
 124230      1.12e+01    1.04e+00      1.62e+00    1.51e-01    2.3e-05
 124240      1.11e+01    6.36e-01      1.61e+00    9.24e-02    2.3e-05
 124250      1.33e+01    1.37e+00      1.93e+00    1.99e-01    2.3e-05
 124260      1.05e+01    1.02e+00      1.53e+00    1.48e-01    2.3e-05
 124270      1.02e+01    1.19e+00      1.48e+00    1.72e-01    2.3e-05
 124280      8.87e+00    9.95e-01      1.29e+00    1.44e-01    2.3e-05
 124290      9.60e+00    1.24e+00      1.39e+00    1.80e-01    2.3e-05
 124300      1.09e+01    7.10e-01      1.59e+00    1.03e-01    2.3e-05
 124310      1.13e+01    8.33e-01      1.64e+00    1.21e-01    2.3e-05
 124320      9.56e+00    1.10e+00      1.39e+00    1.60e-01    2.3e-05
 124330      9.43e+00    9.37e-01      1.37e+00    1.36e-01    2.3e-05
 124340      1.03e+01    2.30e+00      1.50e+00    3.34e-01    2.3e-05
 124350      1.18e+01    1.37e+00      1.72e+00    1.98e-01    2.3e-05
 124360      1.09e+01    8.57e-01      1.58e+00    1.25e-01    2.3e-05
 124370      1.11e+01    1.23e+00      1.61e+00    1.78e-01    2.3e-05
 124380      1.10e+01    9.33e-01      1.60e+00    1.36e-01    2.3e-05
 124390      1.03e+01    8.95e-01      1.49e+00    1.30e-01    2.3e-05
 124400      1.09e+01    8.95e-01      1.59e+00    1.30e-01    2.3e-05
 124410      1.32e+01    1.07e+00      1.91e+00    1.55e-01    2.3e-05
 124420      1.15e+01    1.84e+00      1.67e+00    2.67e-01    2.3e-05
 124430      1.11e+01    1.49e+00      1.61e+00    2.17e-01    2.3e-05
 124440      1.10e+01    8.59e-01      1.60e+00    1.25e-01    2.3e-05
 124450      1.16e+01    9.07e-01      1.69e+00    1.32e-01    2.3e-05
 124460      1.05e+01    9.51e-01      1.53e+00    1.38e-01    2.3e-05
 124470      1.13e+01    9.24e-01      1.64e+00    1.34e-01    2.3e-05
 124480      9.72e+00    7.71e-01      1.41e+00    1.12e-01    2.3e-05
 124490      1.22e+01    8.17e-01      1.77e+00    1.19e-01    2.3e-05
 124500      1.11e+01    8.06e-01      1.61e+00    1.17e-01    2.3e-05
 124510      1.13e+01    1.38e+00      1.64e+00    2.00e-01    2.3e-05
 124520      1.11e+01    6.29e-01      1.62e+00    9.14e-02    2.3e-05
 124530      9.73e+00    1.42e+00      1.41e+00    2.07e-01    2.3e-05
 124540      1.10e+01    1.53e+00      1.60e+00    2.23e-01    2.3e-05
 124550      1.07e+01    1.18e+00      1.55e+00    1.72e-01    2.3e-05
 124560      9.76e+00    1.10e+00      1.42e+00    1.61e-01    2.3e-05
 124570      1.11e+01    1.39e+00      1.61e+00    2.02e-01    2.3e-05
 124580      1.18e+01    1.85e+00      1.71e+00    2.68e-01    2.3e-05
 124590      1.04e+01    1.16e+00      1.51e+00    1.68e-01    2.3e-05
 124600      1.10e+01    1.34e+00      1.60e+00    1.95e-01    2.3e-05
 124610      1.10e+01    1.99e+00      1.60e+00    2.89e-01    2.3e-05
 124620      1.09e+01    8.13e-01      1.58e+00    1.18e-01    2.3e-05
 124630      1.06e+01    7.28e-01      1.54e+00    1.06e-01    2.3e-05
 124640      1.13e+01    7.68e-01      1.65e+00    1.12e-01    2.3e-05
 124650      9.98e+00    6.06e-01      1.45e+00    8.80e-02    2.3e-05
 124660      1.14e+01    8.34e-01      1.65e+00    1.21e-01    2.3e-05
 124670      1.10e+01    1.60e+00      1.60e+00    2.32e-01    2.3e-05
 124680      1.18e+01    1.12e+00      1.71e+00    1.63e-01    2.3e-05
 124690      1.14e+01    1.04e+00      1.65e+00    1.51e-01    2.3e-05
 124700      1.24e+01    1.45e+00      1.80e+00    2.11e-01    2.3e-05
 124710      1.11e+01    9.93e-01      1.61e+00    1.44e-01    2.3e-05
 124720      1.18e+01    1.47e+00      1.71e+00    2.14e-01    2.3e-05
 124730      9.69e+00    1.61e+00      1.41e+00    2.33e-01    2.3e-05
 124740      8.93e+00    9.36e-01      1.30e+00    1.36e-01    2.3e-05
 124750      1.06e+01    9.66e-01      1.54e+00    1.40e-01    2.3e-05
 124760      1.05e+01    1.06e+00      1.52e+00    1.54e-01    2.3e-05
 124770      1.12e+01    1.35e+00      1.63e+00    1.97e-01    2.3e-05
 124780      1.10e+01    1.08e+00      1.60e+00    1.56e-01    2.3e-05
 124790      9.93e+00    1.35e+00      1.44e+00    1.97e-01    2.3e-05
 124800      9.87e+00    1.31e+00      1.43e+00    1.91e-01    2.3e-05
 124810      1.03e+01    6.46e-01      1.49e+00    9.39e-02    2.3e-05
 124820      9.84e+00    1.01e+00      1.43e+00    1.46e-01    2.3e-05
 124830      1.15e+01    1.24e+00      1.66e+00    1.80e-01    2.3e-05
 124840      1.11e+01    6.80e-01      1.62e+00    9.88e-02    2.3e-05
 124850      1.13e+01    1.82e+00      1.63e+00    2.64e-01    2.3e-05
 124860      1.18e+01    1.07e+00      1.71e+00    1.56e-01    2.3e-05
 124870      1.09e+01    1.15e+00      1.59e+00    1.66e-01    2.3e-05
 124880      1.08e+01    6.25e-01      1.57e+00    9.08e-02    2.3e-05
 124890      9.65e+00    5.49e-01      1.40e+00    7.98e-02    2.3e-05
 124900      1.05e+01    1.07e+00      1.52e+00    1.56e-01    2.3e-05
 124910      9.77e+00    7.61e-01      1.42e+00    1.11e-01    2.3e-05
 124920      9.05e+00    1.55e+00      1.31e+00    2.25e-01    2.3e-05
 124930      1.09e+01    1.04e+00      1.58e+00    1.51e-01    2.3e-05
 124940      1.11e+01    7.53e-01      1.62e+00    1.09e-01    2.3e-05
 124950      1.06e+01    1.30e+00      1.54e+00    1.88e-01    2.3e-05
 124960      1.02e+01    6.92e-01      1.48e+00    1.01e-01    2.3e-05
 124970      1.16e+01    6.81e-01      1.69e+00    9.89e-02    2.3e-05
 124980      1.12e+01    1.17e+00      1.63e+00    1.71e-01    2.3e-05
 124990      1.10e+01    6.31e-01      1.60e+00    9.16e-02    2.3e-05
 125000      1.18e+01    9.53e-01      1.82e+00    1.47e-01    2.0e-05
 125010      1.02e+01    7.17e-01      1.58e+00    1.11e-01    2.0e-05
 125020      1.04e+01    1.36e+00      1.61e+00    2.11e-01    2.0e-05
 125030      9.99e+00    9.72e-01      1.54e+00    1.50e-01    2.0e-05
 125040      1.09e+01    5.22e-01      1.68e+00    8.07e-02    2.0e-05
 125050      1.04e+01    1.06e+00      1.61e+00    1.64e-01    2.0e-05
 125060      1.10e+01    1.04e+00      1.70e+00    1.61e-01    2.0e-05
 125070      1.02e+01    1.45e+00      1.57e+00    2.25e-01    2.0e-05
 125080      8.79e+00    5.23e-01      1.36e+00    8.09e-02    2.0e-05
 125090      1.13e+01    1.90e+00      1.74e+00    2.94e-01    2.0e-05
 125100      9.25e+00    6.59e-01      1.43e+00    1.02e-01    2.0e-05
 125110      1.01e+01    7.82e-01      1.56e+00    1.21e-01    2.0e-05
 125120      9.80e+00    1.04e+00      1.52e+00    1.61e-01    2.0e-05
 125130      9.98e+00    9.90e-01      1.54e+00    1.53e-01    2.0e-05
 125140      1.02e+01    7.18e-01      1.58e+00    1.11e-01    2.0e-05
 125150      8.50e+00    8.49e-01      1.32e+00    1.31e-01    2.0e-05
 125160      9.75e+00    7.34e-01      1.51e+00    1.14e-01    2.0e-05
 125170      9.72e+00    2.09e+00      1.50e+00    3.24e-01    2.0e-05
 125180      1.04e+01    5.24e-01      1.60e+00    8.10e-02    2.0e-05
 125190      9.78e+00    1.20e+00      1.51e+00    1.85e-01    2.0e-05
 125200      9.79e+00    7.83e-01      1.51e+00    1.21e-01    2.0e-05
 125210      9.49e+00    1.24e+00      1.47e+00    1.92e-01    2.0e-05
 125220      1.08e+01    5.56e-01      1.67e+00    8.59e-02    2.0e-05
 125230      1.07e+01    9.18e-01      1.66e+00    1.42e-01    2.0e-05
 125240      1.18e+01    1.09e+00      1.83e+00    1.69e-01    2.0e-05
 125250      1.14e+01    9.52e-01      1.77e+00    1.47e-01    2.0e-05
 125260      1.09e+01    8.16e-01      1.68e+00    1.26e-01    2.0e-05
 125270      9.61e+00    1.04e+00      1.49e+00    1.61e-01    2.0e-05
 125280      9.43e+00    7.82e-01      1.46e+00    1.21e-01    2.0e-05
 125290      1.08e+01    7.55e-01      1.67e+00    1.17e-01    2.0e-05
 125300      9.85e+00    8.49e-01      1.52e+00    1.31e-01    2.0e-05
 125310      9.90e+00    6.14e-01      1.53e+00    9.50e-02    2.0e-05
 125320      9.80e+00    1.31e+00      1.52e+00    2.03e-01    2.0e-05
 125330      1.09e+01    1.28e+00      1.68e+00    1.98e-01    2.0e-05
 125340      9.44e+00    9.16e-01      1.46e+00    1.42e-01    2.0e-05
 125350      1.04e+01    7.33e-01      1.60e+00    1.13e-01    2.0e-05
 125360      9.82e+00    1.05e+00      1.52e+00    1.62e-01    2.0e-05
 125370      8.31e+00    4.84e-01      1.29e+00    7.48e-02    2.0e-05
 125380      1.02e+01    7.17e-01      1.57e+00    1.11e-01    2.0e-05
 125390      1.05e+01    5.31e-01      1.63e+00    8.21e-02    2.0e-05
 125400      1.03e+01    8.37e-01      1.60e+00    1.29e-01    2.0e-05
 125410      9.50e+00    7.02e-01      1.47e+00    1.09e-01    2.0e-05
 125420      8.55e+00    5.67e-01      1.32e+00    8.77e-02    2.0e-05
 125430      9.66e+00    1.85e+00      1.49e+00    2.85e-01    2.0e-05
 125440      9.44e+00    1.31e+00      1.46e+00    2.02e-01    2.0e-05
 125450      9.57e+00    6.64e-01      1.48e+00    1.03e-01    2.0e-05
 125460      9.20e+00    9.73e-01      1.42e+00    1.50e-01    2.0e-05
 125470      1.10e+01    7.57e-01      1.70e+00    1.17e-01    2.0e-05
 125480      8.94e+00    8.32e-01      1.38e+00    1.29e-01    2.0e-05
 125490      1.05e+01    7.98e-01      1.63e+00    1.23e-01    2.0e-05
 125500      1.15e+01    9.48e-01      1.79e+00    1.47e-01    2.0e-05
 125510      9.83e+00    1.05e+00      1.52e+00    1.62e-01    2.0e-05
 125520      1.12e+01    8.95e-01      1.73e+00    1.38e-01    2.0e-05
 125530      9.93e+00    7.60e-01      1.54e+00    1.18e-01    2.0e-05
 125540      1.00e+01    7.03e-01      1.55e+00    1.09e-01    2.0e-05
 125550      9.20e+00    9.22e-01      1.42e+00    1.43e-01    2.0e-05
 125560      1.35e+01    8.39e-01      2.09e+00    1.30e-01    2.0e-05
 125570      1.03e+01    8.40e-01      1.60e+00    1.30e-01    2.0e-05
 125580      9.77e+00    4.56e-01      1.51e+00    7.05e-02    2.0e-05
 125590      8.94e+00    8.09e-01      1.38e+00    1.25e-01    2.0e-05
 125600      1.06e+01    7.14e-01      1.64e+00    1.10e-01    2.0e-05
 125610      9.77e+00    7.58e-01      1.51e+00    1.17e-01    2.0e-05
 125620      8.57e+00    1.08e+00      1.33e+00    1.68e-01    2.0e-05
 125630      9.84e+00    1.63e+00      1.52e+00    2.51e-01    2.0e-05
 125640      9.74e+00    7.84e-01      1.51e+00    1.21e-01    2.0e-05
 125650      1.05e+01    9.97e-01      1.63e+00    1.54e-01    2.0e-05
 125660      9.04e+00    6.73e-01      1.40e+00    1.04e-01    2.0e-05
 125670      9.06e+00    2.39e+00      1.40e+00    3.70e-01    2.0e-05
 125680      1.00e+01    1.22e+00      1.55e+00    1.88e-01    2.0e-05
 125690      1.09e+01    1.01e+00      1.69e+00    1.57e-01    2.0e-05
 125700      9.19e+00    5.47e-01      1.42e+00    8.45e-02    2.0e-05
 125710      8.43e+00    1.04e+00      1.30e+00    1.61e-01    2.0e-05
 125720      1.00e+01    1.49e+00      1.55e+00    2.31e-01    2.0e-05
 125730      1.17e+01    2.41e+00      1.81e+00    3.73e-01    2.0e-05
 125740      1.07e+01    6.01e-01      1.65e+00    9.29e-02    2.0e-05
 125750      1.08e+01    8.45e-01      1.67e+00    1.31e-01    2.0e-05
 125760      9.25e+00    7.96e-01      1.43e+00    1.23e-01    2.0e-05
 125770      1.10e+01    7.70e-01      1.69e+00    1.19e-01    2.0e-05
 125780      1.20e+01    7.89e-01      1.85e+00    1.22e-01    2.0e-05
 125790      9.49e+00    5.50e-01      1.47e+00    8.50e-02    2.0e-05
 125800      1.07e+01    6.78e-01      1.66e+00    1.05e-01    2.0e-05
 125810      8.53e+00    7.05e-01      1.32e+00    1.09e-01    2.0e-05
 125820      8.58e+00    1.16e+00      1.33e+00    1.80e-01    2.0e-05
 125830      9.84e+00    1.26e+00      1.52e+00    1.95e-01    2.0e-05
 125840      9.89e+00    8.08e-01      1.53e+00    1.25e-01    2.0e-05
 125850      1.04e+01    6.35e-01      1.62e+00    9.82e-02    2.0e-05
 125860      1.05e+01    8.01e-01      1.62e+00    1.24e-01    2.0e-05
 125870      9.01e+00    1.22e+00      1.39e+00    1.89e-01    2.0e-05
 125880      9.31e+00    9.43e-01      1.44e+00    1.46e-01    2.0e-05
 125890      9.95e+00    8.38e-01      1.54e+00    1.30e-01    2.0e-05
 125900      9.65e+00    8.58e-01      1.49e+00    1.33e-01    2.0e-05
 125910      8.71e+00    1.77e+00      1.35e+00    2.73e-01    2.0e-05
 125920      1.03e+01    9.49e-01      1.59e+00    1.47e-01    2.0e-05
 125930      8.30e+00    7.54e-01      1.28e+00    1.17e-01    2.0e-05
 125940      1.12e+01    4.73e-01      1.74e+00    7.32e-02    2.0e-05
 125950      9.18e+00    1.36e+00      1.42e+00    2.11e-01    2.0e-05
 125960      8.97e+00    1.36e+00      1.39e+00    2.10e-01    2.0e-05
 125970      1.03e+01    1.12e+00      1.59e+00    1.73e-01    2.0e-05
 125980      9.74e+00    1.27e+00      1.51e+00    1.96e-01    2.0e-05
 125990      9.94e+00    1.08e+00      1.54e+00    1.67e-01    2.0e-05
 126000      9.53e+00    1.00e+00      1.47e+00    1.55e-01    2.0e-05
 126010      9.67e+00    1.32e+00      1.50e+00    2.04e-01    2.0e-05
 126020      9.65e+00    8.87e-01      1.49e+00    1.37e-01    2.0e-05
 126030      1.08e+01    8.96e-01      1.67e+00    1.38e-01    2.0e-05
 126040      9.85e+00    1.20e+00      1.52e+00    1.85e-01    2.0e-05
 126050      1.05e+01    5.74e-01      1.62e+00    8.87e-02    2.0e-05
 126060      8.47e+00    6.85e-01      1.31e+00    1.06e-01    2.0e-05
 126070      1.06e+01    8.12e-01      1.64e+00    1.26e-01    2.0e-05
 126080      9.08e+00    1.02e+00      1.40e+00    1.58e-01    2.0e-05
 126090      8.71e+00    7.52e-01      1.35e+00    1.16e-01    2.0e-05
 126100      8.15e+00    9.36e-01      1.26e+00    1.45e-01    2.0e-05
 126110      1.03e+01    6.61e-01      1.59e+00    1.02e-01    2.0e-05
