  3.9774e+04 -3.9622e+02  5.5152e+03 -3.3852e+04 -2.8497e+04  3.9903e+03 -4.2411e+04  3.4445e+04 -2.4460e+04 -1.9991e+04 -6.9322e+03 -1.7188e+04 -1.2229e+04  1.3325e+03  3.6176e+03 -5.0205e+03  2.8356e+03  4.2769e+03 -4.4917e+03  2.0794e+02  4.4145e+03 -1.9225e+02  9.2535e+00 -1.2095e+02  2.6335e+02 -1.3371e+02 -2.9760e+02  1.3753e+02  2.4822e+01  1.3329e+02 -2.1368e+02 -1.2407e+02 -5.5835e+02 -2.4479e+02 -6.7806e+02 -5.0747e+01  6.9603e+01 -5.1373e+02 -2.9818e+02  1.7056e+01 -3.5093e+02  6.7544e+01 -4.5238e+01 -2.7719e+02 -3.4480e+02  1.0786e+02 -1.0289e+02 -3.2815e+02 -5.3507e+01  1.1895e+02 -3.0940e+02
 -3.9622e+02  4.5167e+04 -1.0385e+03 -2.9213e+04 -6.0608e+04  6.4748e+03  3.3823e+04 -5.2633e+04  2.8751e+04 -6.3068e+03 -2.6358e+04 -2.1416e+04  1.5017e+03 -6.9084e+03 -7.7222e+02 -5.4746e+03  2.7535e+03  4.2496e+03  5.6154e+03 -1.0167e+03 -5.4633e+03  6.1384e+02 -4.7482e+02 -5.4743e+02  7.6783e+01  4.1174e+01 -9.6543e+01  1.7875e+01  9.4042e+01 -1.7263e+02  3.7476e+01  2.8567e+01  2.9026e+00 -6.7201e+02 -1.0426e+03 -1.2506e+02 -4.9486e+02 -8.1244e+02 -4.1434e+02 -3.1186e+02 -6.2006e+02  1.7113e+02 -3.0503e+02  1.7784e+02 -5.4040e+02 -1.8385e+01 -5.2295e+02 -5.6000e+01  3.5711e+01 -1.8783e+02 -1.5224e+02
  5.5152e+03 -1.0385e+03  4.3206e+04  3.0352e+03  5.5529e+03 -1.6103e+04 -2.5233e+04  2.9344e+04 -3.3112e+04 -1.5740e+04 -2.1745e+04 -6.9705e+04  3.5959e+03 -5.9662e+02 -8.1890e+03  7.5188e+02  4.1273e+02 -1.3872e+03 -2.4326e+03 -7.4244e+02  2.0267e+03  2.1579e+03 -7.2923e+02 -2.5093e+03  2.7405e+02 -1.8519e+02 -2.9086e+02  1.0757e+02 -1.6059e+02 -3.7160e+02  1.3215e+02 -1.4567e+02 -6.2427e+02 -7.1983e+01 -2.4918e+02  4.8271e+02  1.7238e+02  9.6289e+01 -3.0681e+02 -2.7633e+01  4.3710e+02 -4.1723e+02 -4.1887e+02 -5.4510e+02 -7.8364e+02 -1.9001e+02 -4.2294e+02 -2.7429e+02 -4.4500e+02  2.0151e+02 -3.9311e+02
 -3.3852e+04 -2.9213e+04  3.0352e+03  1.4092e+05  1.0677e+05 -2.0564e+04  1.4403e+04  1.9058e+04 -1.7305e+03 -3.2963e+03 -1.5955e+03  3.2702e+03 -5.5392e+03 -6.6089e+03  1.4102e+03 -2.7448e+03  1.6255e+03  2.9867e+03  4.1257e+02  5.8666e+02 -8.4968e+02 -4.2197e+02  4.2383e+02  5.2892e+02 -8.8442e+00 -4.0439e+02 -1.8147e+02  7.2561e+01 -1.1169e+02 -2.8651e+02  2.4335e+01  3.6186e+02  7.3096e+02 -3.9401e+02  1.1412e+03  1.7782e+02 -1.0936e+03  4.7217e+02  2.3017e+03 -7.4742e+02  1.3118e+02 -2.6615e+03  6.2099e+01  1.6842e+02 -9.3775e+01 -8.5354e+01 -8.9384e+01  2.5169e+01  2.8313e+01 -2.4419e+02  1.5367e+01
 -2.8497e+04 -6.0608e+04  5.5529e+03  1.0677e+05  2.3210e+05 -2.7856e+04 -1.3832e+04 -1.7851e+04  1.5664e+03  2.8429e+02 -3.6000e+03  4.4289e+03  7.0812e+02  3.0445e+03  5.7339e+02  2.4304e+03 -1.5137e+02 -2.8245e+03  1.0209e+03  2.0681e+02 -1.0622e+03  8.2334e+02  6.3867e+02  1.3253e+03 -3.3083e+02 -5.6417e+02 -3.9849e+02 -2.7719e+01 -2.4912e+02 -5.6196e+02  1.5266e+02  3.4160e+02  3.4338e+02  9.3338e+02 -2.6223e+01  4.1973e+02  9.6900e+02  1.5148e+03  3.2038e+03  5.0008e+02  3.3412e+03 -2.9805e+03  1.9254e+02  1.9199e+01  1.1755e+02 -2.9256e+02  4.3076e+02 -4.4650e+02 -1.1675e+02  1.4402e+02  6.3329e+01
  3.9903e+03  6.4748e+03 -1.6103e+04 -2.0564e+04 -2.7856e+04  6.7465e+04  1.0413e+04  1.3421e+04 -2.9457e+03 -1.5065e+04 -2.4585e+04  9.4954e+03  2.2929e+03  4.7111e+03 -1.0907e+03  2.2614e+03 -1.7993e+03 -6.1953e+02 -4.9378e+02  2.1539e+02  1.6232e+02  1.6937e+03  6.7359e+01  1.6165e+02 -5.7613e+02 -2.6515e+02  3.2735e+02 -5.7511e+02  3.7023e+01 -7.5781e+01  1.8974e+02  1.2103e+02  6.4047e+02  1.0090e+02  5.3709e+02 -2.5943e+03  9.6172e+02  2.6540e+03  1.3124e+03 -1.4265e+03 -3.6137e+03 -3.7417e+02 -1.7273e+02  3.4168e+01 -6.5939e+02 -1.2636e+02 -2.8727e+02  1.1574e+01  9.1815e+01 -2.6009e+02  4.3691e+01
 -4.2411e+04  3.3823e+04 -2.5233e+04  1.4403e+04 -1.3832e+04  1.0413e+04  1.7190e+05 -1.3506e+05  9.2867e+04 -4.2234e+03  5.4792e+03 -1.3726e+02 -5.3451e+03  5.3695e+03 -3.7063e+03 -2.4243e+02 -4.8703e+02  1.2276e+02 -3.4391e+03  6.2309e+02  2.8226e+03 -1.2499e+02  2.6565e+02  6.4365e+02 -4.2355e+01 -3.3748e+01 -2.1550e+02 -5.3550e+01 -1.2472e+02 -3.3057e+02  1.0143e+02  3.2067e+02  9.5699e+02 -3.4209e+02 -3.1479e+02 -1.3768e+02 -9.1173e+01  7.2154e+00  4.2423e+01  8.7184e+01 -2.1661e+02  5.3666e+01  7.0101e+01 -6.7250e+01  1.1615e+01 -8.7525e+01  5.7377e+01  2.2996e+02  1.8164e+01 -2.5504e+02 -6.7527e+01
  3.4445e+04 -5.2633e+04  2.9344e+04  1.9058e+04 -1.7851e+04  1.3421e+04 -1.3506e+05  2.0485e+05 -1.1495e+05 -1.0743e+04  1.2582e+04 -7.2897e+03 -3.1385e+01 -1.4847e+03  2.5136e+02 -5.7370e+02  5.6272e+02  4.9332e+02  1.0593e+03  1.7453e+03  7.3607e+02  5.3765e+02  6.4517e+01 -1.1045e+03 -3.0989e+02 -2.3157e+01  5.6525e+02 -2.4231e+02  9.0651e+01  4.2630e+02 -3.8926e+01 -2.8253e-01 -3.9525e+02 -4.0296e+02  9.6668e+00 -3.3734e+02  1.9230e+02  2.4253e+02  2.1444e+02  2.3839e+02 -2.3450e+02  1.6357e+02 -2.8024e+01 -5.0976e+02 -2.6638e+02 -1.0283e+02  3.4098e+02 -2.3938e+02 -2.4915e+02  5.7753e+02 -1.3697e+02
 -2.4460e+04  2.8751e+04 -3.3112e+04 -1.7305e+03  1.5664e+03 -2.9457e+03  9.2867e+04 -1.1495e+05  1.2926e+05 -1.4620e+04  2.2206e+04 -1.0112e+04  2.4640e+03 -4.2951e+03  2.3523e+03  4.6618e+02 -8.7587e+02 -4.2821e+02  3.1162e+03  4.7365e+02 -2.4775e+03  2.6288e+03 -6.7466e+02  9.3295e+02 -7.8833e+02  9.0220e+02 -1.0171e+02 -8.2487e+02  1.2546e+02 -1.7007e+02  2.8866e+02 -8.4016e+01  6.6294e+02  2.4737e+01 -5.2046e+01 -2.5115e+02 -4.5024e+02 -3.1852e+02  3.3068e+02 -5.3135e+01 -3.6572e+02  6.6751e+02  8.5436e+01 -3.9961e+02 -1.7915e+02 -1.2064e+01  2.2006e+02  1.4997e+02 -2.8112e+02 -1.8964e+02 -2.1924e+02
 -1.9991e+04 -6.3068e+03 -1.5740e+04 -3.2963e+03  2.8429e+02 -1.5065e+04 -4.2234e+03 -1.0743e+04 -1.4620e+04  8.0606e+04  2.0751e+04  5.7741e+04  2.6335e+03  3.2909e+03  7.5471e+03  8.0012e+02 -4.0295e+02 -1.7325e+02 -2.6357e+02 -2.2125e+02 -9.1979e+01 -1.3844e+03  1.9390e+02  1.2057e+02  1.6708e+02 -5.8626e+01 -1.6004e+02 -1.2043e+01  1.0242e+02  4.3553e+02 -3.0660e+01  5.2762e+01 -1.3313e+01 -9.9289e+01 -3.1988e+02  1.1215e+02  3.1115e+00 -1.0623e+02 -3.2700e+00 -3.0841e+01  1.4228e+02  5.3355e+01 -1.0419e+03  5.5151e+02  5.2200e+01 -5.9072e+02  7.9635e+02  2.4981e+02  1.1625e+03 -1.6690e+02  2.3836e+03
