  4.2684e+04 -8.6256e+02 -4.0332e+03 -2.6756e+04  1.8479e+03  2.4005e+04 -3.6456e+04  3.8385e+04  3.6440e+03 -4.9820e+04 -4.2529e+04  5.6760e+03 -1.0212e+04 -6.9021e+01 -3.8246e+03 -5.3511e+03  2.2411e+03 -5.7406e+03  2.1936e+03  9.1722e+01  1.4650e+03 -1.6398e+03  4.7437e+02 -1.1732e+03 -1.9871e+01  4.3736e+00 -8.7549e+01 -8.5579e+01  2.8636e+02 -1.0022e+02 -2.3516e+01 -1.3568e+02 -1.2767e+02 -3.1019e+02  6.2403e+01  8.2553e+02 -2.6755e+02  3.8872e+02  4.4603e+02 -6.9816e+01  1.2032e+02  3.7072e+02
 -8.6256e+02  5.0425e+04  2.7834e+02  1.7985e+03 -1.6678e+04 -4.6223e+03  3.9502e+04 -8.2907e+04 -4.5378e+03 -4.4252e+04 -6.3767e+04  6.0815e+03  3.5610e+01 -6.2599e+03  2.7589e+02 -3.4191e+03  1.6045e+03 -5.5159e+03 -1.7575e+03 -4.3737e+02 -3.0862e+02  2.0233e+03 -1.0639e+03  1.7951e+03  5.1142e+02 -1.2288e+02  3.2393e+02  2.6215e+02 -1.2122e+02  1.1669e+02  4.1688e+02 -6.3582e+02  1.6205e+02  1.3869e+02  4.1850e+02 -4.1536e+02  2.7632e+02 -2.2424e+02  2.2361e+02 -8.8793e+01 -3.3784e+02  2.3322e+02
 -4.0332e+03  2.7834e+02  3.7621e+04  2.2254e+04 -3.1523e+03 -6.4550e+04  4.0960e+03 -5.2895e+03 -1.4305e+04  5.4919e+03  6.5318e+03 -1.4163e+04 -3.4711e+03  6.0024e+01 -1.0261e+04  2.9980e+02 -9.9047e+00  2.4729e+02 -8.0924e+03  1.5940e+03 -5.4560e+03 -4.6424e+02  1.9960e+02 -6.1923e+02  1.5891e+02 -1.0090e+02  1.8888e+02 -1.1454e+02  1.3801e+02  8.2703e+01  7.3606e+00 -2.7132e+02 -9.5455e+01  7.9162e+02 -3.5802e+02 -1.0522e+03  7.2539e+02 -3.3343e+02 -5.9464e+02  5.0034e+02  2.7572e+02 -6.6379e+02
 -2.6756e+04  1.7985e+03  2.2254e+04  1.0838e+05 -4.9873e+03 -8.2042e+04 -6.6958e+03 -2.6790e+03  1.2079e+04 -8.9902e+03  4.2416e+03  2.1197e+04  4.2942e+03 -6.4302e+02 -6.6421e+03 -3.6306e+02  2.7047e+02 -3.8813e+02 -4.2049e+03  1.2943e+03 -3.4987e+03  1.3743e+01 -1.5153e+03 -9.8732e+02 -1.6683e+02  3.6697e+02  5.5058e+02 -1.5441e+02  3.8262e+02  1.1275e+02  5.5477e+01  3.9710e+01 -1.2018e+02 -1.0499e+03  1.4636e+02 -8.1041e+02  1.5966e+03 -2.3925e+03 -1.8254e+03  5.4997e+02  1.3869e+03 -1.4433e+03
  1.8479e+03 -1.6678e+04 -3.1523e+03 -4.9873e+03  6.7217e+04  1.2978e+04  1.0501e+04  1.3139e+03 -2.8357e+04 -9.5994e+03  2.6388e+03  2.6576e+04 -8.5290e+02 -5.7932e+02 -2.2060e+02 -2.2609e+02 -3.5745e+02  9.7446e+01  5.3635e+02  1.2115e+03 -3.7212e+02  2.5592e+02  7.7754e+02  9.1444e+02  1.7634e+01 -4.0890e+01 -6.7559e+02 -1.6124e+02 -3.2224e+02 -2.9101e+02 -3.4253e+02  6.6496e+02 -4.1554e+01 -4.4278e+01 -2.4676e+03  1.0654e+03 -2.6073e+03  1.3589e+03  1.2495e+03  2.6459e+03 -1.2854e+03 -3.1679e+03
  2.4005e+04 -4.6223e+03 -6.4550e+04 -8.2042e+04  1.2978e+04  2.5732e+05 -3.0422e+03  1.8078e+03  3.8246e+03 -2.6289e+02  5.1991e+02 -1.2328e+01  1.1142e+03 -7.1754e+00 -7.0039e+03  9.1349e+02 -5.7864e+02  1.6428e+03 -2.2337e+03 -2.1713e+02 -2.0947e+02 -1.1197e+03  7.1538e+02 -3.5179e+02  6.0993e+02 -4.3517e+02 -1.3420e+02  5.1975e+02 -2.7189e+02  2.8345e+02 -4.9111e+02  2.0773e+02  1.9849e+01 -8.7975e+02  9.6027e+02  2.8076e+02 -1.9419e+03  2.8159e+03 -1.2406e+03 -1.3561e+03 -3.7564e+03  2.9373e+03
 -3.6456e+04  3.9502e+04  4.0960e+03 -6.6958e+03  1.0501e+04 -3.0422e+03  1.3879e+05 -1.5341e+05 -9.4439e+03  1.4401e+04 -2.0816e+04 -3.6685e+03 -3.5235e+03  5.2458e+03  8.1248e+02  1.1752e+03 -8.5599e+02  1.0373e+02  1.2951e+03 -4.2503e+02  3.8597e+02 -5.5058e+02 -3.2861e+02 -1.2106e+03  2.9722e+02  1.0186e+02  2.1510e+02  3.4178e+01  2.5665e+02  1.6824e+02 -3.6101e+02  2.8405e+01 -3.8123e+02  3.2446e+00 -6.7391e+01  2.2989e+02 -3.2897e+01 -2.2394e+02  3.3490e+01  4.1605e+01 -1.6467e+02 -3.2442e+02
  3.8385e+04 -8.2907e+04 -5.2895e+03 -2.6790e+03  1.3139e+03  1.8078e+03 -1.5341e+05  3.2248e+05  1.9844e+04  1.6412e+04 -1.8243e+04 -2.2817e+03 -6.2218e+02  6.4360e+02  2.5491e+02 -5.5167e+02  3.9953e+02 -1.4480e+02 -5.8844e+02  9.9129e+02 -2.6217e+02  3.5944e+02  1.6479e+02  9.7847e+01  1.0603e+01 -2.7637e+02 -1.1283e+02 -2.3162e+02 -1.8565e+02 -2.6730e+02  1.8387e+02  5.3041e+02  3.4444e+02 -1.7801e+02 -7.5610e+01  2.9299e+02  7.1505e+01  4.7208e+02 -4.9036e+02 -1.6993e+01  4.4554e+02  2.9568e+01
  3.6440e+03 -4.5378e+03 -1.4305e+04  1.2079e+04 -2.8357e+04  3.8246e+03 -9.4439e+03  1.9844e+04  5.3237e+04 -2.6907e+03  3.4517e+03 -1.2443e+03 -3.3525e+03  6.4073e+03  2.6374e+02  1.2184e+01  5.7927e+01  1.4153e+02  6.3573e+02  7.8015e+00  6.4282e+02 -9.8354e+02 -5.0702e+02 -6.4391e+02  8.7814e+01 -3.7156e+01  1.2859e+02 -9.7394e+01  2.5523e+02 -4.8604e+01 -1.4943e+02  5.8163e+01  3.1058e+01  2.6096e+02  2.2839e+02 -7.3517e+02  1.4968e+02 -1.4421e+02  2.5920e+02 -2.1535e+02 -1.4148e+02  3.5178e+02
 -4.9820e+04 -4.4252e+04  5.4919e+03 -8.9902e+03 -9.5994e+03 -2.6289e+02  1.4401e+04  1.6412e+04 -2.6907e+03  1.9579e+05  1.7285e+05 -1.6799e+04 -4.7439e+03 -4.2315e+03  1.0472e+03 -8.0479e+02 -1.1537e+02 -3.7298e+03  6.1508e+02 -5.2856e+01  1.4776e+02 -1.0885e+03  6.0017e+01 -1.1273e+03  7.0483e+02 -2.0516e+02  4.0666e+02  5.1163e+02 -1.3404e+02  4.2165e+02 -3.8401e+02  3.7744e+02 -1.8441e+02  8.2575e+01  3.6354e+02 -6.1968e+00  1.3722e+02 -2.7271e+02 -1.9692e+01 -1.0844e+02 -3.5505e+02  6.9185e+01
