  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
  4.1033e+01 -7.1931e-02 -1.0305e-01 -3.3198e-02 -7.6304e-02  8.2636e-03 -3.8091e-02 -2.1170e-01 -1.8901e-01  2.1815e-02  7.6753e-02 -2.3326e-01 -3.8543e-02 -6.3778e-03 -8.7710e-04 -8.9414e-02 -1.3274e-02 -2.7931e-02 -2.1025e-01  5.7210e-02  9.0202e-02 -7.8628e-02 -5.2719e-02 -2.4507e-02  1.0543e-02 -2.9740e-01 -1.4687e-01  2.8115e-01  1.8064e-01  9.7608e-02 -2.3552e-01  1.1329e-01  6.7790e-02 -1.4086e-01  1.9643e-01  1.4316e-01  7.0582e-02  3.6461e-01  3.5903e-01  1.9790e-01  1.2808e-01  1.6874e-01 -1.5738e-01
  6.1233e+01  9.8489e-02 -7.1794e-02 -6.5543e-02  9.3863e-02 -3.8967e-03 -7.3318e-02  2.1513e-02 -1.1802e-01 -5.2249e-02  1.6719e-01 -1.3441e-01 -9.0250e-02  7.9875e-02 -1.3376e-02 -4.1370e-02  1.1227e-01 -6.0637e-02 -9.2160e-02  6.7350e-02  9.2635e-02 -6.7363e-02  1.6014e-02 -4.6039e-02  1.0798e-01  8.7576e-03 -8.4629e-02  1.5563e-01 -4.5796e-02 -2.6051e-02  1.8161e-01 -8.8749e-02 -4.7318e-02  2.7440e-01 -1.2822e-01  1.9492e-01 -2.8041e-01 -2.2163e-01  3.8707e-01 -1.8857e-01 -3.9285e-02  2.5264e-01 -4.9504e-01
  1.2973e+02 -8.9002e-02 -6.2107e-02  2.5546e-02 -2.4101e-01 -1.1454e-01 -3.9444e-02 -8.8117e-02 -6.3782e-02  5.5134e-02 -6.0041e-02 -6.3459e-02  2.2508e-01  1.4728e-01  5.6332e-02 -1.9972e-01  1.6761e-01 -6.0575e-02 -5.5526e-01  4.0995e-01  3.0676e-01 -1.3388e-01  2.4898e-02 -2.4947e-04 -4.7762e-02  3.1698e-02 -2.0853e-02 -2.9159e-02 -7.9608e-02 -2.2754e-02  6.6193e-02 -1.3177e-01 -4.6081e-02  1.4645e-01 -2.6457e-03  5.5651e-02  1.2853e-01 -1.5810e-01 -1.6775e-02  7.4104e-02  9.0317e-02  6.2494e-02  1.9210e-01
  2.0629e+02  1.5952e-02  8.5271e-03 -1.6859e-02  2.8887e-02 -2.7470e-02 -1.2655e-02  5.5109e-02  3.3364e-02 -4.4978e-02 -2.3714e-02  4.2190e-02 -1.5573e-02 -1.5368e-02 -1.2324e-02  1.1773e-02 -9.8228e-03 -8.2831e-03  4.8788e-02 -4.7004e-02 -2.7837e-02  9.7288e-04 -1.1072e-02 -9.8537e-03  8.8755e-03 -1.8103e-02 -1.6052e-02  1.8905e-02  1.3070e-02  2.1446e-03 -1.7839e-02  8.7858e-03  3.1284e-05 -7.8310e-03  3.1752e-02  4.0747e-02 -2.7883e-03 -7.2421e-01 -3.4737e-01 -2.7963e-01  3.8108e-01  5.5008e-02  3.2663e-01
