  4.5217e+04 -8.4080e+02  1.5921e+03 -6.8874e+04  6.4940e+03 -3.0197e+04 -2.1669e+04 -1.9237e+04 -6.2034e+03 -4.6649e+04  1.7850e+04  2.8839e+04 -6.3266e+03 -7.8363e+02  1.1603e+03 -6.4058e+02 -8.2479e+02  3.2718e+03  4.8209e+01 -5.5024e+03  4.4758e+03 -2.7758e+02  1.4124e+03 -1.9474e+03  4.3645e+00  2.2305e+02 -3.3865e+02 -6.3899e+01  1.0225e+02 -2.2849e+02 -5.0260e+02  2.3463e+02 -5.3630e+02 -5.2784e+02  5.4840e+02  7.0289e+02 -2.7127e+02  1.3650e+02 -5.9150e+00 -5.5657e+02  5.4090e+02 -2.1398e+02 -9.1965e+02 -8.9448e+01 -4.3124e+02 -5.2688e+02  3.4014e+02  5.1918e+01 -3.5254e+02 -1.7454e+02 -3.5964e+02  1.3753e+02 -5.9816e+02 -1.5469e+02 -2.0012e+02  2.1550e+02 -7.9010e+01 -1.0883e+02  1.5050e+02 -4.6857e+02
 -8.4080e+02  4.1124e+04  3.9314e+03  6.0463e+03 -1.6545e+04  2.0024e+03 -1.7976e+04 -6.8817e+04 -1.8646e+04  1.8012e+04 -2.5249e+04 -1.6479e+04 -1.0427e+03 -9.7659e+03  4.1458e+03 -2.4126e+02 -4.8832e+03  8.6728e+03  4.0278e+01  2.0907e+03 -1.9723e+03  4.0983e+01 -6.8710e+02  5.0803e+02 -3.8195e+01  8.5294e+01 -3.4334e+01  1.3025e+02  6.1005e+01  1.7327e+02 -1.8848e+02 -4.2826e+01 -9.1784e-01  4.9784e+02 -2.2701e+02 -3.5100e+02  2.6644e+02 -1.0382e+02 -2.8399e+02  5.8290e+02 -1.2913e+02 -1.5162e+02 -4.4683e+01  3.1245e+02  1.7170e+02  1.1325e+02 -1.1133e+02 -3.1554e+02  4.3834e+01 -1.6103e+02 -2.0453e+02 -5.0500e+02 -6.9057e+02 -5.5994e+02  1.4625e+02 -8.0098e+02 -3.3828e+02 -4.1513e+02 -6.4009e+02 -6.0428e+02
  1.5921e+03  3.9314e+03  3.9348e+04 -2.9572e+04  2.1844e+03 -3.1938e+04 -6.6634e+03 -1.9412e+04 -2.1225e+04  2.7313e+04 -1.6292e+04 -3.9812e+04  1.5219e+03  4.2511e+03 -1.1804e+04 -5.0814e+02 -3.6997e+02  1.7649e+03 -2.9259e+02  4.5806e+03 -5.8978e+03 -3.3865e+01  1.0654e+03 -1.8353e+03  2.5884e+01  7.1842e+01 -1.7913e+01 -2.6755e+02  1.6189e+02 -1.8739e+02  5.4098e+01  1.7104e+02 -2.0527e+02  5.9314e+02 -2.6169e+02  6.3700e+01  9.3379e+01 -5.3757e+02 -6.3159e+02  4.6045e+02 -3.5889e+02 -3.2282e+02 -4.9371e+02  1.5351e+02  3.3669e+01 -1.6454e+02 -9.8033e+01  1.7218e+01 -1.3130e+02 -4.1858e+02 -1.0742e+02 -1.0438e+02 -6.6656e+02 -1.3810e+02 -2.6300e+02 -1.0936e+02 -5.5698e+00 -4.1233e+02 -1.8420e+02 -2.5961e+02
 -6.8874e+04  6.0463e+03 -2.9572e+04  2.5886e+05 -2.4962e+04  1.1404e+05 -3.4065e+03  4.0721e+03 -3.4304e+02 -1.1310e+04 -1.6957e+03 -1.3274e+04  2.1652e+03  2.2201e+02  8.5131e+02  6.2753e+02 -8.1344e+02  8.8449e+02  4.4619e+02 -3.9843e+02  1.0163e+03 -1.4970e+02 -1.6050e+00 -3.0866e+02 -1.3466e+02 -7.7341e+01  1.3703e+01  1.3803e+02 -2.8283e+02  4.6788e+02 -2.8971e+02  2.6102e+02 -5.0682e+02 -3.7645e+01  9.6560e+01  1.6302e+02  4.0837e+02 -5.3872e+01  7.7589e+01  9.5888e+01  2.2109e+02  3.8774e+02  4.4643e+00  2.2428e+02  6.0346e+02  3.1175e+03 -2.0259e+03 -1.0114e+03  5.7852e+02  2.2474e+03  1.7738e+03  3.9559e+01  1.5476e+02  5.2629e+01  3.5252e+02 -9.4390e+01  1.2003e+02  2.4970e+02 -5.1583e+02  7.5225e+00
  6.4940e+03 -1.6545e+04  2.1844e+03 -2.4962e+04  6.6724e+04 -1.3998e+04 -2.6741e+04  9.7955e+03 -1.2754e+04  9.5010e+03 -1.6662e+03  9.2369e+03  5.4411e+03 -1.2139e+03  2.9401e+03 -4.1692e+02  6.1000e+02 -7.0580e+02 -1.6548e+02  4.5944e+02 -2.4527e+02 -6.3202e+02 -2.8406e+02  9.9804e+02  2.7964e+00  1.6444e+02 -9.2749e+01  2.4559e+02 -1.0982e+01  5.6361e+01 -1.2540e+02 -7.5495e+01  1.3973e+02  1.5413e+02 -1.2151e+02 -2.7893e+02 -2.2923e+02  2.7213e+01  1.8297e+02 -1.3128e+02 -4.3132e+01  4.7392e+01  1.1983e+02 -1.7216e+03 -6.8913e+02 -1.9988e+03  3.9472e+01  1.4287e+02  2.4042e+03  1.7911e+02  1.1953e+03  3.6284e+01 -8.2681e+02 -2.6218e+02 -1.0211e+02  3.8818e+02  1.9625e+02 -5.9396e+01  4.2707e+02 -1.2341e+02
 -3.0197e+04  2.0024e+03 -3.1938e+04  1.1404e+05 -1.3998e+04  1.2985e+05 -5.3762e+03  3.8192e+03 -4.6808e+03  1.9131e+04  6.3578e+02  1.4685e+04 -6.4313e+03  8.1895e+02 -4.4482e+03  4.2152e+02 -5.5080e+02  1.1626e+03  6.0096e+02 -6.5611e+02  1.4945e+03  5.7101e+02  1.2543e+03 -9.0282e+02 -9.8120e+01 -1.2532e+02  2.3215e+02 -2.6947e+02 -1.5840e+02  6.9391e+01  3.2375e+01  2.9678e+02 -3.3979e+02  3.1774e+02 -4.3529e+02 -5.8848e+02  1.1705e+02  3.1699e+02  3.1998e+02 -2.6675e+00  1.2233e+02  6.3787e+02  7.4921e+02 -6.4668e+02 -1.0435e+03 -9.9052e+02 -5.6610e+02 -1.4486e+03  1.4963e+03  1.8295e+03  9.5074e+02 -1.7101e+01 -8.1069e+01  3.9613e+01  3.3603e+02  1.3664e+02  1.4854e+01  2.5271e+02 -2.4064e+02  1.3850e+01
 -2.1669e+04 -1.7976e+04 -6.6634e+03 -3.4065e+03 -2.6741e+04 -5.3762e+03  8.6131e+04  7.1603e+04  2.1420e+04  1.0668e+04  2.3387e+04  5.0396e+03 -1.5091e+03 -1.5757e+03  4.2669e+02  1.3302e+03 -1.0837e+03  2.9996e+02 -2.5838e+02  4.9237e+02  2.4253e+02  1.1423e+03  7.1076e+02 -1.3669e+02 -1.5848e+02 -6.5236e+02 -1.8218e+01 -4.1440e+02 -1.9651e+02  7.4357e+01  6.6568e+02 -1.0466e+02  5.8854e+02 -5.8530e+02  1.3859e+02  4.5350e+01  2.3874e+02  2.7257e+02  5.1293e+02 -9.2851e+01 -6.0733e+01  3.8297e+02 -3.7810e+02  3.8858e+02 -2.7941e+01  5.7628e+01 -2.7516e+02 -1.6711e+02 -2.6356e+02 -2.3044e+02 -1.0283e+02 -1.4657e+03  1.4695e+03  1.3108e+02 -2.1048e+03 -1.9214e+03 -2.4365e+03  1.0310e+03  7.8858e+01  2.6178e+03
 -1.9237e+04 -6.8817e+04 -1.9412e+04  4.0721e+03  9.7955e+03  3.8192e+03  7.1603e+04  2.6806e+05  6.2664e+04 -4.4155e+03 -6.7766e+03 -3.4634e+02 -1.1041e+03 -5.4126e+03 -8.6919e+02 -1.1407e+03  2.5210e+02  2.0468e+03 -3.6279e+02  1.2725e+03 -7.1295e+02  4.5041e+02 -4.9749e+02  1.3669e+03 -2.2466e+02 -5.9762e+01 -6.0904e+02 -3.5292e+02  2.1369e+02 -5.6289e+02  8.2166e+02  1.5290e+02  5.5658e+02  1.2315e+02  2.2767e+02  1.4201e+02 -8.6016e+01 -1.3196e+02 -8.0170e+01 -2.0117e+02  2.6551e+01 -1.1753e+02  4.1807e+02 -1.1266e+02  2.1703e+01  1.3244e+01  8.8099e+01  2.8667e+02 -2.7530e+02  5.1222e+02  2.5931e+02  1.1503e+03 -1.3569e+02  9.6290e+02 -2.1759e+03  4.4804e+03  7.0869e+02  1.6737e+03 -1.3546e+03  1.7360e+03
 -6.2034e+03 -1.8646e+04 -2.1225e+04 -3.4304e+02 -1.2754e+04 -4.6808e+03  2.1420e+04  6.2664e+04  8.7230e+04 -1.0165e+04 -1.6552e+04 -4.8463e+03  2.5235e+03  7.3943e+03  3.0775e+03  3.6559e+00  3.1552e+03 -5.1234e+03 -1.9784e+02  5.3972e+02 -5.5762e+02  1.5803e+03  1.1031e+03 -7.3210e+01 -2.8772e+02 -6.5613e+02 -1.3183e+02 -4.9306e+02 -2.0123e+02 -6.6062e+01  4.5499e+02  1.2205e+02  3.4309e+02  2.5735e+02 -7.4064e+00 -2.0699e+02  1.7124e+02  5.1329e+01  3.7588e+02 -2.4128e+02  6.9346e+01  4.0040e+02 -9.1197e+01  4.7968e+01 -5.1884e+01  7.5072e+01  5.5672e+01  7.9301e+01 -3.0916e+02  2.0233e+02  1.1464e+02 -2.3500e+02  9.2355e+02 -1.1142e+03 -8.7788e+02  6.8154e+02 -2.6624e+02  2.3561e+03  1.5206e+03  1.9375e+03
 -4.6649e+04  1.8012e+04  2.7313e+04 -1.1310e+04  9.5010e+03  1.9131e+04  1.0668e+04 -4.4155e+03 -1.0165e+04  1.7895e+05 -6.3205e+04 -1.0814e+05 -1.2778e+03 -8.1249e+02  1.3251e+03 -3.9317e+01 -2.4449e+02 -1.1126e+03  5.8822e+02  5.8599e+02  1.3366e+02  1.7920e+03  7.5913e+01 -1.2058e+02 -6.2108e+02  3.3068e+02  5.2062e+02 -6.5667e+02 -5.1205e+01 -8.4886e+01  1.1173e+03 -3.6318e+02  5.6250e+02 -2.5639e+02 -8.8401e+02 -1.5352e+03 -3.0810e+03  7.0204e+02 -1.5529e+03  2.8180e+03 -2.3303e+03  1.8272e+03 -7.9002e+01 -1.2896e+02 -3.5151e+02 -3.5171e+02 -1.8944e+02 -1.2727e+02 -1.1067e+01  9.9436e+01  1.8991e+02 -2.8278e+02 -2.3558e+02 -2.7745e+02  4.1660e+02 -4.4280e+02  6.0356e+01 -1.0017e+02 -4.3560e+02  1.1089e+02
