  34.72     0.015732538976288
  35.56    0.0076051538976288
  40.41   0.00428573538976288
  53.34    0.0331265538976288
  56.15    0.0111837538976288
  60.26   0.00253265538976288
  66.26    0.0124417538976288
  79.93    0.0329469538976288
  97.12    0.0343419538976288
 107.91     0.019208538976288
 130.90   0.00730567538976288
 180.35    0.0381077538976288
 184.03    0.0874017538976288
 206.36    0.0103643538976288
 212.37     0.147037538976288
 221.35   0.00455171538976288
 236.21     0.251746538976288
 257.63     0.227752538976288
 271.74    0.0188541538976288
 304.51    0.0417849538976288
 311.39    0.0645011538976288
 320.52     0.321267538976288
 351.82     0.156963538976288
 374.14     0.255886538976288
 385.45    0.0259617538976288
 412.53     0.105584538976288
 538.69    0.0946313538976288
 577.59    0.0044221538976288
 657.32   0.00712257538976288
 658.64   0.00649464538976288
 891.76    0.0277299538976288
 963.80     0.198001538976288
 990.62    0.0839219538976288
1081.07    0.0229334538976288
1157.82   0.00704813538976288
1170.14     0.115564538976288
1269.76     0.107944538976288
1367.95    0.0211916538976288
1400.37    0.0948799538976288
1470.83    0.0307423538976288
1503.18    0.0975555538976288
1569.25     0.114308538976288
1649.74      0.11321538976288
1651.32      0.11241538976288
1652.23     0.122184538976288
1667.96     0.057048538976288
1713.68   0.00289804538976288
1720.76    0.0359535538976288
1808.98     0.325132538976288
3015.19    0.0632469538976288
3126.96     0.309867538976288
3129.21    0.0796411538976288
3195.08     0.428266538976288
3218.53    0.0480133538976288
3220.28     0.675101538976288
3774.55     0.044444538976288
3801.47    0.0278983538976288
3801.73    0.0369452538976288
3820.22    0.0402192538976288
3894.14     0.211247538976288
3895.24     0.127653538976288
3897.35     0.196817538976288
3902.72     0.206267538976288
