  4.4510e+04  3.5797e+01  7.2998e+02 -3.1347e+04  6.9608e+03 -2.7695e+04 -7.5844e+04  1.6579e+04  1.2561e+04 -2.9943e+04 -2.4332e+04  1.3499e+04 -6.2973e+03  1.6158e+02  3.4199e+02  1.7329e+03  7.2952e+03  5.7095e+03 -1.9896e+02 -3.2937e+03 -3.4752e+03 -3.9873e+02 -9.0517e+02 -8.1514e+02  4.5746e+01 -1.2745e+02 -1.9104e+02  9.1565e+01 -2.5203e+01 -1.7027e+02 -2.3286e+00 -8.6304e+01 -1.3802e+02  1.4042e+01 -3.3297e+02  4.6292e+02 -1.6663e+02 -5.9724e+02  3.5735e+02 -5.6073e+02 -4.4334e+02  8.8118e+01  9.0402e+01  3.1334e+02 -5.4664e+02 -5.3227e+02 -8.2438e+00  1.4701e+01 -2.0947e+02 -2.3883e+01 -1.6568e+02 -1.2484e+03  2.4099e+02  1.2539e+02 -1.0499e+03  2.8632e+01 -4.0534e+02 -5.7892e+02  7.4643e+01  1.6052e+02 -5.5209e+01 -4.0927e+01 -1.5714e+02  7.6465e+01  9.6753e+01  1.6699e+02  4.9910e+01  7.1333e+01  1.3353e+02
  3.5797e+01  3.8962e+04 -4.4262e+03  7.2949e+03 -1.8692e+04  1.5387e+04  1.6244e+04 -1.9041e+04 -3.3715e+03 -2.5163e+04 -5.5131e+04  2.2215e+04  3.8792e+02 -1.2330e+04 -4.2256e+03 -8.5868e+02 -2.8757e+03 -2.3565e+03  8.4261e+02 -5.7967e+03 -6.7087e+03 -5.4079e+01 -1.6221e+02  5.0436e+01  6.1101e+01  1.8143e+02  2.3221e+02  5.3402e+00  8.7107e+01 -3.9837e+01 -3.3958e+01  1.7801e+01 -7.8308e+01 -3.6007e+02 -4.7656e+02  5.5572e+02 -3.2823e+02 -2.2096e+02  6.8975e+02 -4.6781e+02 -2.4368e+02  1.9731e+02  2.8633e+02 -3.6572e+01  2.6269e+02  7.4923e+01  9.5502e+01  2.5479e+02 -1.0292e+02 -1.5954e+01  3.1916e+02  2.2657e+02  7.4163e+01 -4.7994e+00  1.5038e+02  3.0591e+02  6.8462e+01  6.1942e+01  1.5060e+02 -3.7958e+01 -2.8759e+01  2.3242e+01  2.1562e+01  8.4744e+01 -6.0600e+01  1.1829e+02  1.5619e+02 -3.0853e+01  1.1574e+02
  7.2998e+02 -4.4262e+03  4.2375e+04 -2.7485e+04  1.4642e+04 -6.8153e+04  1.1013e+04 -2.3700e+03 -1.6869e+04  1.4134e+04  2.3773e+04 -2.7200e+04  5.1426e+02 -4.6872e+03 -9.1149e+03  1.1702e+02 -1.6596e+03 -2.6260e+03 -1.2863e+03  2.0127e+03  2.1951e+03 -1.1105e+02 -1.9580e+03 -2.2196e+03 -2.8676e+01 -1.9833e+02 -1.7627e+02 -1.4683e+02 -1.2359e+02 -3.1607e+02 -8.2134e+01 -2.1248e+02 -3.3944e+02  5.9938e+02  6.4643e+02 -2.0452e+02 -2.6617e+01  1.0173e+02 -6.0868e+02 -2.5275e+02  1.0274e+02 -1.9715e+02 -5.6747e+02  3.2384e+02 -6.0073e+02 -3.3581e+02  1.6030e+02 -1.7419e+02  1.8367e+02  4.0697e+02 -3.8349e+02 -4.6309e+01 -9.6782e+00  4.7314e+02  2.8747e+02 -2.2980e+02 -2.2909e+02  5.0558e+02  1.0870e+02 -5.4802e+02 -1.6871e+02 -3.7121e+01 -3.1670e+02  3.0033e+02  1.1416e+02  4.2485e+02  2.4466e+02  8.1896e+01  4.1364e+02
 -3.1347e+04  7.2949e+03 -2.7485e+04  1.1827e+05 -2.5866e+04  1.0465e+05 -5.9747e+03  4.8365e+03 -2.8657e+04  1.0338e+04 -1.8773e+03  1.6728e+04 -1.6075e+02 -6.6759e+02  7.5121e+02  3.5885e+01  2.7436e+02  3.1752e+02  6.3877e+02  7.3404e+02  8.2365e+02  4.4633e+02  7.1270e+01 -3.6227e+02  4.1671e+01  8.7646e+01 -6.7156e+01  7.7076e+00  1.6421e+02  2.7697e+02 -1.6310e+02 -3.5669e+01 -6.3284e+02 -4.4696e+02 -4.6498e+02  1.8666e+02  3.2871e+02  4.0481e+02  6.6872e+01  3.5406e+02  2.1440e+02  2.4426e+01 -1.6184e+03 -5.3993e+02  8.7399e+02  3.2516e+03 -1.0675e+03  1.7318e+03 -1.5213e+03  3.6718e+02 -7.5886e+02 -5.7323e+02  7.2511e+01  3.0274e+02  4.8712e+01 -2.0889e+02  8.6407e+01  4.4440e+02 -1.4450e+02  7.2684e+01  7.9648e+01  1.1707e+01  2.0509e+02 -1.0663e+02 -8.4067e+01 -2.6306e+02 -8.7941e+01 -1.7607e+01 -1.6692e+02
  6.9608e+03 -1.8692e+04  1.4642e+04 -2.5866e+04  7.5214e+04 -5.0157e+04 -2.0005e+01 -2.9692e+03  6.3957e+03  1.6334e+04 -1.7505e+03  1.8317e+04 -4.0958e+03  1.8542e+03 -7.3179e+03  3.1379e+02  2.7961e+02  1.6068e+02  5.4865e+01  2.2132e+02  5.6345e+02  4.6168e+02 -1.1404e+03 -3.8826e+02  6.4415e+01  1.2565e+02  1.5860e+02 -1.6746e+02 -2.6516e+01 -3.5485e+02  1.6865e+02 -1.2102e+02  9.0747e+01 -4.4530e+02 -3.3349e+02  1.5872e+02  5.0728e+01  1.6135e+02  5.3616e+01  2.1621e+02  8.7771e+01 -1.8665e+02 -4.8433e+02 -8.8264e+02 -1.7093e+01 -7.2937e+02 -4.8211e+02 -2.1514e+02 -6.3233e+01  8.9523e+02 -2.1604e+03  8.8275e+01  5.9589e+01 -6.8527e+01  5.9336e+01 -1.5479e+01  2.8006e+01 -2.0268e+01 -1.3110e+02 -4.7862e+01 -9.7168e+00 -1.3878e+01 -8.2562e+01 -3.4325e+01  7.9095e+01 -1.6947e+00 -7.0406e+01  9.2628e+00 -8.0052e+00
 -2.7695e+04  1.5387e+04 -6.8153e+04  1.0465e+05 -5.0157e+04  2.6411e+05  5.2560e+03 -3.7113e+03  1.0754e+04 -6.1296e+03 -2.4524e+03 -6.9407e+03 -2.1687e+03  6.2063e+02 -5.1835e+03 -1.0241e+00  1.0670e+03  2.2012e+03  6.2641e+02  1.1835e+03  1.6046e+03  3.8390e+00 -1.3298e+03 -5.9736e+02 -8.1613e+01  2.2798e+02  1.2386e+02 -1.6598e+01  4.1414e+02  2.9946e+02 -3.7858e+02 -2.4250e+02 -1.3416e+03 -1.3715e+01  5.2619e+00  3.9017e+01  5.0233e+02  2.2654e+02  1.6751e+02  2.6476e+02 -2.4099e+02  3.2283e+02  9.2634e+02 -1.5028e+02 -1.9471e+02  2.0564e+03  2.0388e+02 -1.0490e+03 -1.1836e+03 -2.3468e+03  2.3426e+03  5.5359e+02 -4.8321e+01 -2.2850e+02 -4.4386e+02  1.3002e+02  6.0694e+02 -1.4423e+02 -2.1435e+02  4.6450e+02  1.9215e+02 -1.8612e+01  3.8443e+02 -3.1846e+02 -9.2827e+01 -5.3906e+02 -2.6908e+02  2.7574e+01 -4.0003e+02
 -7.5844e+04  1.6244e+04  1.1013e+04 -5.9747e+03 -2.0005e+01  5.2560e+03  2.8576e+05 -6.4664e+04 -4.5340e+04 -9.2812e+03  5.9081e+03 -1.9465e+02  6.8573e+02  7.9774e+02  9.0413e+02  6.8930e+02 -1.2545e+03 -2.1034e+03  3.2150e+02 -9.3177e+02 -1.3950e+03  1.3451e+03 -5.7672e+02  1.2252e+03 -9.6509e+02  8.8202e+01 -1.2996e+02 -4.8610e+02  1.3063e+02 -7.5168e+02  1.0662e+03 -3.5192e+02  1.5152e+03  1.8459e+02 -1.1314e+02 -5.2760e+01  8.4678e+01  3.7502e+02 -1.6797e+02  2.0327e+02  1.6946e+02  1.7309e+02  6.7397e+01 -1.3346e+02  7.5855e+01  3.3936e+02  3.3772e+02 -4.7778e+02  1.6545e+02  8.4638e+01  1.1966e+02  8.2662e+02 -4.6802e+02 -2.9385e+02  2.7592e+03  3.6245e+02  3.4414e+03  1.2805e+03  4.7557e+02 -4.2209e+03 -9.8760e+01  8.7917e+01 -8.2116e+01  2.0269e+01 -6.5177e+01 -4.3450e+01  1.5228e+02 -1.1379e+02 -4.1076e+01
  1.6579e+04 -1.9041e+04 -2.3700e+03  4.8365e+03 -2.9692e+03 -3.7113e+03 -6.4664e+04  8.4748e+04  1.6538e+04 -2.6380e+04  1.1074e+04  3.4758e+03  7.7201e+03 -2.8466e+03 -1.5333e+03 -6.1752e+02 -3.2934e+03 -3.9207e+03 -3.3797e+02 -2.2161e+02  1.5797e+02  1.4355e+02 -4.1666e+02 -2.6168e+02  7.0746e+01  4.1606e+01  4.5411e+01  5.0562e+01 -8.9534e-01  2.3645e+02 -3.9360e+02  1.2771e+02 -1.0740e+03 -1.0232e+02 -4.5033e+02  3.6255e+02  9.0065e+01  4.9363e+01 -4.7114e+01 -1.1081e+02 -1.0843e+01  3.6900e+01 -1.3857e+02 -1.2044e+01  1.5484e+02  1.6821e+02 -1.8523e+01 -2.0765e+01  1.9864e+02 -4.6423e+00 -7.2433e+01 -8.4152e+02 -9.9636e+02 -6.0647e+01  7.2271e+02 -1.5030e+03 -8.2128e+02  1.3762e+03  1.2939e+01  1.4976e+03  5.9035e+01 -5.6587e+01  6.6220e+01 -8.1829e+01  7.9719e+01 -1.0976e+02 -1.4673e+02  3.7993e+01 -1.0744e+02
  1.2561e+04 -3.3715e+03 -1.6869e+04 -2.8657e+04  6.3957e+03  1.0754e+04 -4.5340e+04  1.6538e+04  7.1558e+04  1.1503e+04 -6.3285e+03 -3.4168e+03  5.4555e+03 -4.7187e+02 -1.7536e+03 -1.1912e+03 -3.3298e+03 -4.6145e+02  1.7784e+02  4.3415e+02  3.4331e+02  7.3044e+02 -1.7141e+03 -3.3515e+02 -3.7250e+02  4.0215e+02  5.0035e+02 -1.1109e+02  5.3234e+02  2.8853e+02 -2.7219e+02  2.3979e+02 -7.7034e+02 -2.2016e+02  1.2732e+02 -2.7348e+02  2.4859e+02  4.4246e+02  1.6203e+02  6.6997e+02  1.6608e+02  2.6636e+02  8.5045e+01  2.2387e+02 -5.9258e+02 -4.1902e+02  8.5344e+01  3.4928e+01 -2.8918e+02 -1.5051e+02  6.2122e+01  9.4509e+01  2.6187e+01 -2.4800e+03  2.0670e+03  2.7264e+02  2.2737e+02 -4.6873e+03  1.2520e+02  8.3457e+02  1.6547e+02  5.7611e+01  4.0531e+02 -3.3910e+02 -1.3281e+02 -5.0635e+02 -2.0811e+02 -1.0392e+02 -4.2926e+02
 -2.9943e+04 -2.5163e+04  1.4134e+04  1.0338e+04  1.6334e+04 -6.1296e+03 -9.2812e+03 -2.6380e+04  1.1503e+04  1.1514e+05  9.2156e+04 -4.9929e+04 -3.8759e+02  1.0772e+03 -1.0179e+03 -3.2735e+01  7.8553e+02  8.7664e+02  2.1459e+03  1.3537e+03  1.6486e+03  6.3376e+01 -4.6828e+02 -8.5340e+02  5.6600e+01  1.3919e+02  4.1837e+02  3.4492e+01  2.2737e+02  4.9198e+02 -2.4667e+02  3.7043e+02 -7.6311e+02 -1.4597e+03  1.8935e+02 -8.0667e+02 -9.4087e+02  5.7449e+02 -8.2810e+02  3.5975e+03  2.6643e+03 -1.6502e+03 -5.0868e+02  1.3854e+00 -2.4839e+02  2.8960e+02  1.0423e+02 -2.7306e+02  5.2324e+02  2.7738e+02 -1.7991e+02 -3.3661e+02  3.4314e+02 -2.7280e+02  7.0235e+01  7.4006e+01  1.9830e+02 -2.0882e+02 -1.9420e+02  3.3714e+02  8.2526e+01  3.8300e+01  3.0193e+02 -1.2227e+02 -1.1095e+02 -3.2487e+02 -4.6878e+01 -5.6360e+01 -2.5144e+02
