  4.3892e+04  2.2612e+03  1.9139e+03 -8.4557e+04 -9.1213e+02 -7.7524e+02 -2.2398e+04 -1.9353e+04  8.5279e+03 -2.3156e+04  6.8268e+02 -2.0431e+04 -7.6083e+03  2.6444e+03  1.8489e+03 -1.8439e+03  8.5045e+03  6.0643e+03  6.5293e+02 -1.8863e+03 -1.7045e+03 -1.3174e+02 -5.1353e+02 -3.7827e+02  9.7453e+01 -1.1348e+02 -1.7391e+02  1.2941e+02 -4.2774e+00 -7.5799e+01  3.7895e+01 -5.4021e+01 -3.9614e+01  1.2703e+01 -2.8247e+02  3.2752e+02 -2.3764e+02 -4.5672e+02  2.4792e+01  4.0384e+01 -5.1838e+02  2.8713e+02 -6.9827e+01  2.2044e+02 -5.5882e+02 -5.3658e+01 -1.7796e+02 -3.7953e+02 -2.7551e+00  2.1030e+02 -2.7472e+02 -1.1125e+03 -1.4155e+02 -2.3592e+02 -6.8839e+02 -1.8620e+02  1.1816e+02 -9.1126e+02 -3.1839e+02 -5.4216e+02 -3.3682e+00 -3.0512e+01 -7.7341e+01  3.0363e+00  6.2719e+01 -9.6911e+00 -5.7830e+01  2.4715e+01  2.9215e+01  1.1988e+02  5.7687e+01 -3.9195e+01 -1.9312e+02 -2.5148e+02  1.5442e+02 -2.4329e+02  2.0487e+01  6.2138e+01
  2.2612e+03  3.9756e+04 -3.6882e+03 -1.3686e+03 -1.4705e+04 -1.8238e+01 -1.9718e+04 -6.6381e+04  2.2446e+04  8.6004e+02 -1.6061e+04  6.2317e+03  2.8011e+03 -1.1931e+04 -3.5210e+03 -1.2434e+00 -8.4429e+02 -7.0409e+02  4.0820e+03 -6.2746e+03 -6.4990e+03  5.7871e+01 -5.3611e+02 -1.4146e+02 -1.3150e+01  1.4495e+02  1.1912e+02  1.4840e+01  7.1697e+01 -1.2096e+02  9.4464e+00  1.5527e+01 -8.8766e+01 -2.7973e+02 -5.8706e+02  6.0561e+02 -5.1567e+02 -4.8953e+02  1.0026e+02 -3.8376e+02 -4.3925e+02  6.8559e+02  2.2258e+02  3.2978e+02  4.8753e+02 -1.3585e+02 -2.5429e+02 -7.8994e+01  9.6044e+01 -3.2016e+02 -1.4682e+02 -1.7578e+02  8.3852e+01 -4.3755e-01 -1.2928e+02  1.3576e+02 -3.4779e+01 -2.0213e+02  2.2420e+02 -1.0921e+02 -5.9128e+00  4.0387e+01 -3.5891e+01  2.7428e+01 -6.4422e+01  2.0996e+02  4.0532e+01 -5.6408e+01  1.7732e+02  6.0578e+01 -1.8066e+02  9.1713e+01 -1.0779e+02  3.5603e+02 -1.8543e+02 -1.4340e+02  3.7314e+02 -1.6783e+02
  1.9139e+03 -3.6882e+03  4.2605e+04 -2.3160e+03  4.7893e+02 -1.4680e+04  8.6198e+03  2.4141e+04 -2.5216e+04 -1.9924e+04  5.3540e+03 -7.5394e+04  2.0838e+03 -3.8351e+03 -8.2118e+03  8.5191e+02 -6.0899e+01 -1.2372e+03 -2.2595e+03  1.4288e+03  1.8258e+03  9.0948e+02 -2.0493e+03 -2.1240e+03  7.0502e+01 -2.2805e+02 -1.9123e+02 -2.1976e+01 -1.8939e+02 -3.2281e+02  5.1478e+01 -2.6485e+02 -4.3371e+02  4.3031e+02  7.3729e+02 -7.0343e+01 -2.7386e+02 -8.1900e+01 -2.3563e+02  9.1121e+01 -2.4926e+01 -5.6888e+02 -6.2033e+02  5.0905e+02 -1.0424e+03 -2.3751e+02 -4.5966e+02 -6.0155e+02 -3.3171e+02  4.3302e+02 -3.9731e+02 -3.9532e+02 -4.9465e+01  3.9904e+02  3.9458e+02  1.9812e+02 -4.1781e+02  1.9661e+02 -2.1626e+02 -2.8841e+02 -1.7780e+01 -4.7681e+01 -3.8937e+02 -2.1024e+01  5.2427e+01  5.0472e+02 -6.7324e+01  4.5462e+01  5.6426e+02 -7.5059e+01  1.3335e+02 -1.2178e+02  1.0233e+02 -1.5426e+02  1.6049e+02  1.6900e+02 -2.6253e+02  1.9715e+02
 -8.4557e+04 -1.3686e+03 -2.3160e+03  3.2184e+05 -1.4994e+03  1.2290e+03 -4.8166e+03  2.4524e+03 -1.3000e+03 -1.2506e+03 -9.7964e+02  3.7380e+03 -3.1313e+03  7.6843e+02  7.5848e+02  1.0523e+03  6.9796e+02 -5.6455e+02  9.2558e+02 -7.7783e+02 -1.0771e+03  8.0287e+02  3.0388e+02  1.4503e+03 -6.9502e+02 -2.7417e+02 -3.8141e+02 -2.9285e+02 -1.4529e+02 -8.6218e+02  1.0092e+03  7.9402e+01  2.0674e+03  2.5070e+02  4.7641e+01 -4.1982e+01  1.3937e+01  1.4264e+02  1.0344e+02 -3.1028e+01  2.4834e+02 -1.7672e+02  2.8157e+02 -5.4565e+01  1.8482e+02 -4.2943e+01  5.1554e+02  7.1742e+01 -2.5158e+01 -1.1462e+02 -1.1311e+02  7.8926e+02  1.5481e+02  5.5628e+02  2.5951e+03  8.2601e+02 -3.8225e+03  8.0133e+02  1.1901e+03  3.4366e+03 -1.2405e+02  1.4363e+01 -2.0718e+02  1.1611e+02 -4.1749e+01  1.6880e+02  1.0589e+02  1.2605e+01  1.5030e+02 -6.2354e+01 -2.0348e+02  9.9160e+01  2.4827e+02  3.8601e+02 -2.1374e+02  9.5570e+01  9.8780e+01 -8.7018e+01
 -9.1213e+02 -1.4705e+04  4.7893e+02 -1.4994e+03  6.5714e+04  2.6640e+03 -3.0994e+04  4.3740e+03 -2.9666e+03  3.3143e+03 -2.1780e+03 -1.1785e+03  8.0805e+03 -3.5245e+02  5.3650e+02  1.5138e+03 -3.5702e+03 -4.0192e+03 -1.4827e+02 -4.8392e+02 -2.8864e+02  6.5697e+02 -4.2652e+02  1.6485e+02 -2.0119e+02  6.7093e+01 -8.9597e-01 -8.8959e+01  3.6767e+01 -3.0410e+01 -9.5947e+01 -1.4735e+02 -5.7963e+02  1.7975e+01 -4.4414e+02  3.3526e+02 -8.0761e+01  2.6239e+01  8.9536e+01  8.1966e+01  1.8301e+02 -6.5871e+01 -6.9214e+01 -2.4652e+02 -1.3848e+01  2.1060e+02  5.8450e+02  1.3623e+02  5.5280e+01  2.5308e+02  4.8188e+02 -1.9498e+02 -1.1494e+03 -1.9186e+02  1.3729e+03  4.9926e+02  5.0982e+02  1.7089e+03 -7.2280e+02  6.0045e+02  1.2976e+01 -6.2645e+01  5.6270e+01 -4.1110e+00  8.1341e+01 -1.4533e+02 -2.7492e+01  9.1029e+01 -1.1700e+02 -1.5074e+02  1.8513e+02 -6.8583e+01  2.7723e+02 -3.5985e+02  2.0301e+02  2.5060e+02 -4.1402e+02  1.2808e+02
 -7.7524e+02 -1.8238e+01 -1.4680e+04  1.2290e+03  2.6640e+03  6.0553e+04  1.3529e+04 -2.4095e+03 -2.9052e+02 -3.1207e+04 -1.7577e+03  5.6992e+03  4.8869e+03  1.1993e+03 -4.7666e+02  7.7299e+01 -3.4059e+03 -4.3662e+02  1.3650e+02  3.2179e+02 -9.8368e+00  1.3722e+03 -1.4628e+03  2.7674e+02 -7.0826e+02  2.4769e+02  2.8320e+02 -3.3862e+02  4.7678e+02 -5.2284e+00 -1.1589e+02  3.5402e+01 -2.3796e+02 -1.3996e+02  6.6376e+01 -3.3561e+02  5.5602e+02  4.0715e+02  3.9158e+02  6.1472e+01  5.5758e+02  1.4233e+02  1.1490e+02  1.1042e+02 -6.1437e+02 -2.4907e+02  5.0438e+02  7.7663e+01 -1.5595e+02 -2.6974e+01  5.6920e+01  8.4646e+02  6.4299e+01 -2.2412e+03 -3.8404e+03 -1.0463e+03 -9.9625e+02  1.9639e+03  1.1767e+03  1.5009e+03 -1.5797e+00  7.8659e+01  4.1568e+02  3.8914e+01 -9.2207e+01 -4.7201e+02  8.0270e+01 -3.2813e+01 -6.3174e+02  1.4090e+02 -1.3012e+02  6.8421e+01 -2.2194e+02  1.7466e+02 -1.1425e+02 -2.4780e+02  2.6508e+02 -1.4668e+02
 -2.2398e+04 -1.9718e+04  8.6198e+03 -4.8166e+03 -3.0994e+04  1.3529e+04  8.8595e+04  6.8803e+04 -3.2671e+04  3.9918e+03  1.3487e+04 -2.8712e+03  6.4940e+02  3.8592e+03 -2.2867e+03 -4.5237e+02  5.1450e+02  6.8746e+02  3.1694e+02  3.1275e+03  3.1447e+03  8.1799e+01  3.0643e+01 -6.3994e+02 -7.2324e+01  3.7662e+00  3.0513e+02 -6.7148e+01  1.1017e+02  3.2288e+02 -7.7970e+01  2.2768e+02 -3.3758e+02 -1.2550e+03  2.3126e+00 -4.3857e+02  2.2396e+03  2.7032e+03 -1.2424e+03 -7.2805e+02  9.0946e+02 -1.0927e+03 -2.1854e+02 -4.5693e+01 -3.2925e+02  6.0436e+01  1.6178e+02  1.1405e+02  3.5758e+01  3.7845e+01 -3.2773e+01 -4.5526e+02  1.8532e+02 -3.1732e+02 -1.3155e+02 -1.6907e+02  1.5735e+02  1.0355e+02  6.2553e+01  1.2192e+02  4.0802e-01  4.0320e+01  1.7179e+02  1.0248e+01 -2.6967e+01 -9.0569e+01  8.3573e+01 -3.7992e+01 -1.5836e+02 -9.4713e+01 -6.1733e+00 -1.4805e+00  1.1328e+02  1.8115e+02 -1.0776e+02  2.3858e+02 -6.6728e+01 -3.9383e+01
 -1.9353e+04 -6.6381e+04  2.4141e+04  2.4524e+03  4.3740e+03 -2.4095e+03  6.8803e+04  2.6151e+05 -8.2016e+04  1.3453e+03  3.8940e+03 -3.8884e+03 -2.0957e+03 -6.8843e+03  1.9907e+03  1.7106e+01  1.4079e+03  8.1557e+02  2.0752e+03 -1.2237e+03 -2.0834e+03  2.6825e+02 -5.5308e+02 -1.2054e+03 -2.2334e+02 -6.3273e+01  5.6981e+02  4.6784e+01  2.1762e+02  7.6810e+02 -6.2456e+02  5.8195e+01 -2.2363e+03  2.9359e+02  9.3204e+00 -1.3054e+03  2.7317e+03  2.6731e+03  1.8292e+03 -1.3031e+02 -1.3977e+03 -2.3267e+03 -1.4364e+02 -9.1341e+00 -3.7928e+02  1.0713e+02  1.5442e+02 -6.0099e+01  2.5385e+02  3.8880e+02  4.7137e+02  2.9952e+02  1.4638e+02 -6.4814e+01  3.3728e+00 -8.3094e+01  9.0522e+01  2.2117e+01 -1.3047e+01  1.8520e+02  8.3245e+01 -4.6492e+01  3.0484e+02 -1.4402e+01  1.2734e+02 -3.2812e+02 -3.0097e+01  6.5110e+01 -3.2513e+02 -3.8988e+01  2.5471e+02 -9.5400e+01  5.0058e+01 -4.2344e+02  1.9051e+02  1.1937e+02 -4.4465e+02  2.0154e+02
  8.5279e+03  2.2446e+04 -2.5216e+04 -1.3000e+03 -2.9666e+03 -2.9052e+02 -3.2671e+04 -8.2016e+04  9.7822e+04  1.3368e+04  2.5101e+04 -5.3565e+03 -2.7880e+03 -4.0878e+03  2.2746e+03 -2.3365e+02 -4.9236e+02 -2.2962e+02  2.3937e+03 -2.6685e+03 -2.0621e+03  9.0517e+02 -1.7272e+03  1.0778e+03  2.1574e+02  8.8402e+02 -2.2874e+02 -3.0485e+02  4.5703e+02 -3.6918e+02 -5.2833e+01 -1.8003e+02  5.3194e+02 -8.7514e+02 -1.3617e+03 -1.3688e+03  2.9693e+02  1.2011e+03 -2.8162e+03 -8.3487e+02 -1.0489e+03  3.6885e+03 -2.9182e+02 -3.0290e+02 -3.9483e+02 -1.7483e+01  6.8743e+02  2.9319e+02 -1.1256e+02  1.0496e+02  2.4292e+01 -4.7921e+01 -5.0469e+01 -2.2707e+02 -3.7561e+02 -1.3767e+02  6.4939e+02 -5.5965e+02  2.3628e+02  2.1323e+02  9.3363e-01  1.0307e+02  2.9847e+02  1.4046e+01 -1.5672e+02 -3.9558e+02  5.1791e+01 -4.5581e+01 -5.5744e+02  2.4196e+01 -1.3291e+02  9.5406e+01 -2.9906e+01  1.3077e+02 -1.6518e+02 -1.3348e+02  2.5868e+02 -1.8012e+02
 -2.3156e+04  8.6004e+02 -1.9924e+04 -1.2506e+03  3.3143e+03 -3.1207e+04  3.9918e+03  1.3453e+03  1.3368e+04  8.6337e+04 -5.4372e+03  7.3433e+04  9.3119e+02 -7.3733e+02  3.9844e+03 -2.8621e+01 -7.5945e+01 -3.5537e+02  2.3734e+02  5.3116e+02  1.9234e+02  9.7866e+01  6.7465e+02 -1.5045e+02  7.1468e+01  1.3311e+01 -1.0278e+02 -2.7130e+01  1.0748e+02  3.2581e+02 -6.8865e+01  3.3268e+01 -4.3807e+02 -2.0360e+02 -4.2213e+02  1.0335e+02  1.3648e+02  2.7752e+02  1.7943e+01  8.9866e+01  3.4389e+02  3.1486e+01 -1.0621e+03 -2.2403e+02  1.8292e+02  5.9266e+02  1.6379e+03  1.4365e+03  8.1501e+01 -1.5951e+03  1.4573e+03 -7.1529e+02 -1.4618e+02  1.8088e+02  3.9865e+02  9.4907e+01  8.1824e+01  1.6834e+02 -1.5549e+02 -1.6715e+01  2.5646e+01  2.4596e+01  1.3565e+02 -3.7034e+01 -2.5327e+01 -7.3155e+01  4.4357e+01 -4.6024e+01 -1.2592e+02 -2.9822e+02 -2.2018e+02  1.1749e+01  5.5097e+02  1.7643e+02 -1.1235e+02  3.2108e+02  4.5383e+01  1.0330e+01
