10.0000 0.9156 0.0800 0.0000
11.3500 0.9422 0.0489 0.0000
12.8700 0.7756 0.0978 0.0000
14.6000 0.8756 0.0756 0.0000
16.5700 0.7533 0.0556 0.0000
18.7900 0.6689 0.1089 0.0489
21.3200 0.5711 0.0756 0.0378
24.1900 0.5644 0.0444 0.1622
27.4400 0.4933 0.1133 0.0667
31.1400 0.4311 0.0333 0.2000
35.3200 0.2733 0.1511 0.1222
40.0700 0.3044 0.1778 0.1711
45.4600 0.2800 0.1156 0.1244
51.5800 0.3156 0.0867 0.2111
58.5200 0.2178 0.0622 0.2467
66.3900 0.1800 0.0844 0.2644
75.3200 0.2911 0.0933 0.2133
85.4500 0.2844 0.0756 0.2267
96.9400 0.4222 0.0889 0.1289
109.9800 0.2133 0.1244 0.1444
124.7700 0.3800 0.1244 0.1622
141.5500 0.1911 0.1156 0.2222
160.5900 0.1933 0.1533 0.1689
182.1900 0.2178 0.2467 0.0844
206.7000 0.1467 0.1867 0.2178
234.5000 0.1644 0.1800 0.0800
266.0400 0.1067 0.1133 0.0289
301.8200 0.0667 0.1156 0.0244
342.4200 0.1111 0.1511 0.0333
388.4700 0.0867 0.1089 0.0044
440.7200 0.0667 0.0511 0.0200
500.0000 0.0556 0.0511 0.0111
