10.0000 1 0.0000 0.0000 
11.3500 1 0.0000 0.0000 
12.8700 1 0.0000 0.0000 
14.6000 1 0.0000 0.0000 
16.5700 1 0.0000 0.0000 
18.7900 1 0.0000 0.0000 
21.3200 1 0.0000 0.0000 
24.1900 1 0.0000 0.0000 
27.4400 1 0.0000 0.0000 
31.1400 1 0.0000 0.0000 
35.3200 1 0.0000 0.0000 
40.0700 1 0.0000 0.0000 
45.4600 1 0.0000 0.0000 
51.5800 1 0.0000 0.0000 
58.5200 1 0.0000 0.0000 
66.3900 1 0.0000 0.0000 
75.3200 0.9933 0.0000 0.0000 
85.4500 0.9978 0.0000 0.0000 
96.9400 0.9845 0.0000 0.0000 
109.9800 0.9822 0.0044 0.0000
124.7700 0.9711 0.0111 0.0000
141.5500 0.8667 0.1178 0.0022
160.5900 0.8355 0.1400 0.0156
182.1900 0.7777 0.1911 0.0156
206.7000 0.6266 0.2622 0.0067
234.5000 0.6689 0.2778 0.0067
266.0400 0.4956 0.3533 0.0156
301.8200 0.3533 0.3489 0.0467
342.4200 0.4156 0.2956 0.0533
388.4700 0.3621 0.2156 0.0467
440.7200 0.3467 0.1422 0.0400
500.0000 0.2444 0.1511 0.0378
