10.0000 0.7200 0.2578 0.0156 0.0000
11.0100 0.5067 0.2800 0.1667 0.0000
12.1300 0.3044 0.3667 0.2667 0.0000
13.3600 0.0089 0.8178 0.0489 0.0000
14.7200 0.0244 0.6556 0.0244 0.0000
16.2100 0.0489 0.6578 0.0156 0.0000
17.8600 0.0156 0.7400 0.0244 0.0156
19.6700 0.0089 0.4711 0.0267 0.0000
21.6600 0.0000 0.5311 0.0622 0.0022
23.8600 0.0089 0.3400 0.0267 0.0111
26.2800 0.0000 0.0556 0.0000 0.0489
28.9500 0.0000 0.0178 0.0022 0.0689
31.8900 0.0022 0.0711 0.0067 0.0733
35.1200 0.0000 0.0111 0.0267 0.1289
38.6900 0.0000 0.0022 0.0000 0.2089
42.6100 0.0000 0.0022 0.0000 0.2178
46.9400 0.0044 0.0000 0.0000 0.1022
51.7000 0.0044 0.0244 0.0000 0.2822
56.9400 0.0022 0.0044 0.0000 0.3511
62.7200 0.0000 0.0156 0.0000 0.2733
69.0800 0.0022 0.0200 0.0000 0.3689
76.0900 0.0000 0.0022 0.0000 0.3311
83.8100 0.0000 0.0111 0.0000 0.2556
92.3200 0.0044 0.0044 0.0000 0.2489
101.6800 0.0089 0.0133 0.0000 0.2022
112.0000 0.0067 0.0333 0.0000 0.1800
123.3600 0.0244 0.0622 0.0000 0.0956
135.8800 0.0267 0.0289 0.0000 0.0667
149.6700 0.0267 0.0000 0.0000 0.0800
164.8500 0.0489 0.0333 0.0067 0.0089
181.5800 0.0178 0.0111 0.0022 0.0911
200.0000 0.0222 0.0111 0.0111 0.0289
