10.0000 0.7489 0.1556 0.0956
11.3500 0.7778 0.1378 0.0844
12.8700 0.6622 0.0000 0.3378
14.6000 0.6311 0.0022 0.3666
16.5700 0.6622 0.0000 0.3378
18.7900 0.5267 0.0356 0.4378
21.3200 0.5222 0.0022 0.4756
24.1900 0.5400 0.0044 0.4555
27.4400 0.5289 0.0000 0.4711
31.1400 0.4467 0.0000 0.5533
35.3200 0.4467 0.0222 0.5311
40.0700 0.3844 0.0267 0.5889
45.4600 0.4311 0.0000 0.5689
51.5800 0.2911 0.0000 0.7089
58.5200 0.2133 0.0022 0.7844
66.3900 0.1111 0.0000 0.8889
75.3200 0.1133 0.0000 0.8866
85.4500 0.1133 0.0000 0.8867
96.9400 0.0689 0.0044 0.9266
109.9800 0.0178 0.0022 0.98
124.7700 0.0244 0.0000 0.9755
141.5500 0.0311 0.0044 0.9645
160.5900 0.0800 0.0000 0.92
182.1900 0.0956 0.0022 0.9022
206.7000 0.1111 0.0000 0.8889
234.5000 0.0733 0.0289 0.8978
266.0400 0.1622 0.0156 0.8223
301.8200 0.1289 0.0200 0.8511
342.4200 0.1289 0.0356 0.8356
388.4700 0.2311 0.0333 0.7245
440.7200 0.2489 0.0467 0.6755
500.0000 0.4067 0.0756 0.4555
