10.0000 0.6511 0.3489
11.3500 0.8178 0.1822
12.8700 0.8044 0.1956
14.6000 0.7911 0.1978
16.5700 0.7133 0.2867
18.7900 0.7422 0.2533
21.3200 0.8356 0.1556
24.1900 0.8867 0.0844
27.4400 0.8356 0.1578
31.1400 0.7733 0.2044
35.3200 0.7911 0.1978
40.0700 0.8689 0.1067
45.4600 0.7711 0.1778
51.5800 0.8867 0.0956
58.5200 0.8022 0.1578
66.3900 0.8356 0.0800
75.3200 0.7689 0.0711
85.4500 0.8778 0.0044
96.9400 0.8822 0.0244
109.9800 0.9133 0.0200
124.7700 0.9000 0.0444
141.5500 0.9200 0.0333
160.5900 0.7400 0.0578
182.1900 0.7289 0.0733
206.7000 0.6333 0.0467
234.5000 0.3578 0.1178
266.0400 0.2378 0.1067
301.8200 0.2533 0.0800
342.4200 0.1244 0.0711
388.4700 0.0844 0.0689
440.7200 0.0889 0.0511
500.0000 0.0533 0.0267
