  4.7358e+04  2.0318e+02 -6.2170e+02 -5.6743e+04  3.0906e+04 -1.8341e+04 -2.9039e+04 -1.7920e+04 -2.7331e+04 -5.5572e+04  2.5005e+03  4.4708e+04 -6.8094e+03 -1.8321e+03  6.9042e+02  1.9172e+02  1.1030e+03  2.1910e+02  1.6156e+03  2.7254e+03 -1.6492e+03 -2.4604e+03 -2.4706e+03  4.8603e+02 -9.4650e+02 -1.0345e+03  1.5188e+02 -1.4510e+02 -2.3745e+02  2.8913e+01 -6.4581e+02 -1.5815e+02 -6.8070e+01
  2.0318e+02  3.5603e+04  5.3471e+03  2.7796e+04 -3.1722e+04  1.0291e+04 -1.8083e+04 -3.5596e+04 -3.4532e+04  2.6994e+03 -1.3855e+04 -4.2218e+03 -1.4521e+03 -1.1642e+04  1.4121e+03 -1.6870e+03 -2.7676e+03 -1.8460e+02 -4.4052e+03 -6.1303e+03  3.0267e+03 -6.0430e+02 -1.2487e+03  2.4707e+02  1.7788e+02  4.2975e+02 -2.8795e+01 -2.9321e+02  5.2430e+01 -1.3347e+01  4.7765e+02 -8.4028e+01  1.3123e+02
 -6.2170e+02  5.3471e+03  4.8322e+04 -1.7222e+04  1.0860e+04 -2.4293e+04 -2.7454e+04 -3.5296e+04 -6.8502e+04  4.4818e+04 -3.4643e+03 -6.3710e+04  5.5368e+02  1.3426e+03 -7.3619e+03  4.2086e+03  8.2567e+03 -5.6432e+02 -2.0688e+03 -3.6016e+03  1.3745e+03 -1.8554e+02 -9.3997e+01 -2.5531e+02 -2.8438e+02 -2.5036e+02  2.9750e+02  4.8976e+01 -3.1583e+00  1.7433e+02 -2.9686e+02  1.5039e+01 -2.1579e+01
 -5.6743e+04  2.7796e+04 -1.7222e+04  2.1707e+05 -1.1917e+05  7.1494e+04 -7.0609e+03  3.9965e+03 -1.9761e+03 -1.4715e+04  8.8560e+03 -7.6796e+03  3.9706e+03  1.5620e+03  2.0053e+02 -2.5371e+03 -2.5204e+03 -9.4463e+02 -3.0053e+03 -1.7091e+03  1.2836e+03  2.6585e+03 -5.6498e+03  2.2479e+03  2.2681e+02  3.6296e+03 -9.3441e+02 -5.1112e+02  1.8071e+03 -7.2496e+02  2.0647e+01 -6.1948e+02  1.7896e+02
  3.0906e+04 -3.1722e+04  1.0860e+04 -1.1917e+05  1.4121e+05 -5.0822e+04 -1.6402e+04  1.0992e+04 -5.4613e+03 -3.9571e+02 -4.1666e+02  6.5624e+02  5.9896e+03 -6.8614e+03  3.4908e+03 -7.7709e+02 -2.5794e+03 -1.0965e+02 -9.9566e+02 -1.9311e+03  1.7437e+03 -1.4465e+03 -2.6734e+03  1.2312e+03  1.3580e+03  3.1277e+02 -5.1458e+02  7.7369e+02  8.0079e+02 -1.8363e+02 -1.6360e+03 -5.6978e+02  3.6186e-02
 -1.8341e+04  1.0291e+04 -2.4293e+04  7.1494e+04 -5.0822e+04  9.1853e+04 -2.1545e+04  1.5788e+04 -6.6728e+03  2.2559e+04 -1.5174e+04  1.2390e+04 -1.3927e+03  2.6816e+03 -1.4219e+03 -4.5590e+02  6.5088e+02  2.9241e+02 -8.9151e+01  5.3423e+02  1.1237e+02  7.3540e+02  4.6300e+02  1.4503e+03 -1.1701e+02 -9.9453e+01 -1.7925e+03 -3.5309e+02  5.2248e+00 -1.6884e+02  5.4474e+02  1.8580e+02  2.9385e+02
 -2.9039e+04 -1.8083e+04 -2.7454e+04 -7.0609e+03 -1.6402e+04 -2.1545e+04  1.0850e+05  7.3486e+04  1.0871e+05  1.2853e+04  1.4076e+04  2.0472e+04 -1.5830e+03 -5.1979e+02 -2.0137e+03  1.2469e+03  5.8003e+02  7.2414e+02 -4.6231e+01 -3.6868e+02 -3.5538e+02  3.1555e+02 -6.9230e+02  1.9957e+02 -4.5143e+02  1.3018e+01  1.9827e+02 -4.3665e+02  1.2860e+02 -9.2373e+01  6.6336e+02 -3.4811e+02  1.6837e+02
 -1.7920e+04 -3.5596e+04 -3.5296e+04  3.9965e+03  1.0992e+04  1.5788e+04  7.3486e+04  1.3910e+05  1.3460e+05 -2.9002e+02 -4.4552e+01  1.0777e+01 -2.6572e+03 -4.2091e+03 -6.5604e+03 -4.2007e+02  1.3953e+03  7.4935e+02 -1.8156e+03 -2.0411e+03  1.9105e+03  3.8847e+01 -1.3214e+03  6.5529e+02  4.8158e+02  4.1940e+02 -1.7322e+02 -2.5244e+02  3.2033e+02 -1.6339e+02 -3.6009e+01 -5.8480e+02  2.2920e+02
 -2.7331e+04 -3.4532e+04 -6.8502e+04 -1.9761e+03 -5.4613e+03 -6.6728e+03  1.0871e+05  1.3460e+05  2.6865e+05 -1.3227e+04 -1.2244e+04 -1.7680e+04  1.9713e+03  1.7239e+03  3.1424e+03  7.4564e+02  1.1600e+03  9.1858e+02  1.1755e+03  1.5597e+03  6.7103e+00 -3.8411e+02  6.6725e+02 -1.9211e+02 -3.2084e+01 -9.0949e+01  7.3003e+01  3.1799e+01  3.9966e+02 -1.9215e+02  9.7525e+02 -3.7326e+02  4.1754e+02
 -5.5572e+04  2.6994e+03  4.4818e+04 -1.4715e+04 -3.9571e+02  2.2559e+04  1.2853e+04 -2.9002e+02 -1.3227e+04  2.1436e+05 -9.7689e+03 -1.7879e+05 -1.6729e+03  5.6023e+02  1.0832e+03  6.6947e+01  1.7406e+01  1.7650e+02  1.7367e+03  3.3153e+02 -9.9373e+02  1.6714e+02 -5.6480e+02  2.7816e+02 -2.9592e+02 -1.3665e+02 -2.7599e+02 -4.2556e+02  2.7407e+02 -1.9091e+02  9.1584e+02 -4.8820e+02  3.8081e+02
