  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.0454e+00  1.7193e-01 -2.3043e-01  1.1443e-01  2.6959e-01 -9.1014e-02  8.2132e-02  2.0775e-01 -3.1575e-01  1.5170e-01  2.0778e-01 -3.1566e-01  1.5167e-01 -5.8289e-02 -1.6376e-01  4.8269e-02 -1.4494e-01 -2.2277e-01  5.3642e-02 -1.4491e-01 -2.2267e-01  5.3611e-02 -3.7608e-02  7.4506e-02 -3.3706e-02  1.4121e-01  1.6854e-01 -3.4805e-02 -2.3145e-01  1.5438e-01 -9.7956e-02 -2.1013e-01  3.0711e-01 -1.4903e-01
  1.4859e+00  4.1968e-03 -8.2489e-03 -2.2819e-02  5.2879e-02 -1.0406e-01 -2.8914e-01 -1.2978e-01  1.9312e-01 -8.4756e-02  1.2718e-01 -1.8797e-01  9.9336e-02 -4.2873e-02  8.4381e-02  2.3456e-01 -2.1306e-01  3.5220e-01  3.1140e-01  6.3079e-02 -5.7010e-02  5.0911e-01  3.2127e-03 -6.3260e-03 -1.7613e-02  6.4755e-02 -1.2745e-01 -3.5424e-01 -3.2345e-02  6.3647e-02  1.7680e-01 -7.5704e-04  1.4759e-03  3.9639e-03
  5.4810e+01 -1.4411e-02  2.8377e-02  7.8858e-02  4.4726e-02 -8.8068e-02 -2.4474e-01 -4.5587e-01  9.3613e-02  2.6953e-01  3.3439e-01  1.4560e-01  3.9524e-01  2.4529e-02 -4.8300e-02 -1.3422e-01  1.5480e-01 -2.8608e-01 -2.0015e-01 -5.0642e-02  8.0994e-02 -3.6978e-01  1.8568e-03 -3.6562e-03 -1.0161e-02  9.8740e-03 -1.9442e-02 -5.4030e-02 -1.7347e-02  3.4157e-02  9.4922e-02 -2.2735e-02  4.4767e-02  1.2441e-01
  1.9542e+02  1.6287e-02 -3.2070e-02 -8.9123e-02  1.0486e-01 -2.0648e-01 -5.7380e-01 -4.4758e-01  2.4394e-01 -2.5699e-02  4.0236e-01 -1.5490e-01  2.7315e-01 -1.2713e-02  2.5032e-02  6.9564e-02 -6.6596e-03  1.3319e-01  8.7190e-02 -3.6191e-02 -4.8814e-02  1.4729e-01 -9.1863e-03  1.8088e-02  5.0267e-02 -1.5023e-02  2.9582e-02  8.2207e-02  1.4972e-02 -2.9481e-02 -8.1926e-02  1.8476e-02 -3.6381e-02 -1.0110e-01
  3.1408e+02 -2.3139e-01  5.6874e-02 -6.2752e-02 -4.8841e-01 -2.5633e-01  2.9804e-03 -3.1131e-01  2.1474e-01 -1.2932e-01 -3.0979e-01  2.1174e-01 -1.3765e-01  1.0610e-01 -4.6971e-02  3.6292e-02  1.9192e-01  2.6481e-02  3.2868e-02  1.9422e-01  2.1948e-02  2.0272e-02  9.4710e-02 -1.0195e-01  5.3993e-02  2.6640e-01  2.3756e-03  4.7829e-02 -1.6072e-01  2.9245e-02 -3.9896e-02 -1.2974e-01  2.6248e-01 -1.1816e-01
  4.8724e+02  2.3309e-01  1.7839e-01 -2.1597e-02  3.4464e-01  2.9552e-01 -4.3360e-02  2.6811e-01  1.0597e-01  1.3050e-02  2.6880e-01  1.0462e-01  9.2897e-03  1.2080e-01  1.1359e-01 -1.8796e-02  2.1926e-01  1.6348e-01 -2.7279e-02  2.1658e-01  1.6875e-01 -1.2621e-02  4.9829e-03 -1.2421e-01  4.5607e-02 -7.5984e-02 -1.8127e-01  5.1344e-02 -2.9041e-01 -4.2206e-02 -3.7884e-02 -2.3877e-01  3.5634e-01 -1.7186e-01
