  4.5056e+04  2.2235e+02  1.0724e+03 -1.5057e+04  1.6738e+03  6.2006e+02 -7.3183e+04 -2.8782e+04  3.9785e+01 -4.6155e+04  2.8985e+04 -1.6851e+04 -6.2374e+03 -3.9437e+02  2.1750e+03  2.3024e+03  5.5023e+01 -5.4161e+03 -1.1926e+03  1.8073e+02  9.9595e+02 -1.2325e+03 -8.8848e+02  2.3925e+03 -1.9582e+02 -1.2750e+02  3.0162e+02 -2.5635e+02 -1.6384e+02  2.0352e+02  4.9741e+00  2.0059e+01  2.0269e+02 -6.1604e+02  1.0032e+03 -2.4866e+02 -4.4037e+02  3.4271e+02 -1.2454e+02 -7.2508e+02  2.1721e+02  3.0662e+02  3.7428e+02  4.6544e+01 -1.2680e+02 -4.7158e+02  3.2010e+02  2.9216e+02 -5.5520e+01  1.3449e+02  4.3600e+02 -1.6241e+02 -4.5147e+01  1.3378e+02  3.4532e+02  1.6533e+02 -3.3417e+02  2.0195e+02  4.0288e+01 -1.8792e+02 -3.2381e+02 -2.0238e+02  6.2487e+01  3.5036e+02  2.3526e+02 -6.8850e+01  3.7102e+02  3.7900e+02 -9.0735e+01 -1.7215e+02 -9.2853e+01 -2.6124e+02  1.9301e+02  2.4674e+02  6.6658e+02  3.9707e+02  7.9112e+01  4.7082e+02 -7.0583e+02 -5.7379e+02 -1.9956e+02 -5.6812e+02  2.5255e+02 -7.8937e+01 -2.8826e+02 -3.2759e+02 -9.9384e+01
  2.2235e+02  4.4310e+04  2.3462e+03  3.5630e+03 -6.0467e+04 -3.3130e+04 -2.8665e+04 -3.1850e+04 -2.3222e+02  2.6599e+04 -4.0156e+04  1.4297e+04 -2.5785e+02 -6.8058e+03  2.1811e+03 -2.7362e+03 -1.9139e+03  6.1883e+03  1.9585e+03  3.5803e+03 -6.5925e+03 -5.6323e+02 -9.1326e+02  1.2352e+03 -1.0643e+02  4.8948e+01  1.6395e+02 -1.5369e+02  9.8402e+01  7.8537e+01 -1.6392e+02 -1.1774e+02  3.0156e+02  9.3990e+02 -4.6610e+02  2.0707e+01  2.2041e+02 -7.1177e+02  3.5967e+02  5.8088e+02 -4.1842e+02  1.3859e+02  1.9426e+02 -9.4178e+02 -5.3747e+02  1.3504e+01 -4.1516e+02 -2.6769e+02 -3.0620e+02 -8.9786e+02 -7.2124e+01  1.4850e+01  7.5368e+01  7.1479e+01  4.5037e+01 -6.4353e+01 -2.4313e+02 -2.2410e+01 -2.3846e+02 -9.4266e+01 -1.3936e+02 -7.7454e+01  9.8179e+00  1.6678e+02  1.4175e+02 -1.5185e+01  1.7244e+02  1.2254e+02 -1.3688e+01 -1.0961e+02 -3.5490e+01 -1.0382e+02  1.4423e+02  1.4837e+02  3.0544e+02  2.7509e+02  7.0229e+01  1.7793e+02 -5.9772e+02  1.2273e+02 -5.6409e+01 -7.6999e+01 -1.9910e+02 -2.9705e+01  6.7946e+01 -4.6241e+02 -2.0412e+02
  1.0724e+03  2.3462e+03  3.6804e+04  2.6938e+03 -3.2125e+04 -3.7465e+04 -5.0459e+02 -4.9416e+02 -1.4869e+04 -1.5262e+04  1.4921e+04 -2.2508e+04  1.5260e+03  1.8300e+03 -1.4598e+04  2.2962e+03  1.1518e+03 -4.7797e+03  2.2242e+03  3.0290e+03 -6.3840e+03  5.1470e+02  2.0687e+02 -7.9188e+02 -1.9890e+02 -6.0958e+01  1.4592e+02  9.2509e+01  7.3207e+01  2.9086e+01  1.8239e+02  1.2960e+02 -7.1775e+01 -2.7635e+02  6.4967e+00  2.7602e+02  6.7342e+01  4.5397e+02 -4.8260e+01 -4.6389e+01  3.1131e+02 -4.9746e+01 -9.2896e+01 -4.5948e+02 -4.0617e+01  3.6994e+02 -3.7078e+02 -1.0112e+02  6.0276e+01 -5.2134e+02  8.2409e+00  5.5785e+01  6.0786e+01  2.5497e+01 -9.4261e+01 -2.5519e+01 -1.4289e+02 -2.4816e+02 -2.0138e+02  1.6918e+01  4.7090e+01  3.0929e+01  3.8991e+01 -2.3015e+02 -1.2794e+02 -8.4146e+01 -2.0733e+02 -1.1857e+02 -3.8401e+01  9.5065e+00 -1.2139e+01 -4.3246e+01 -5.5167e+01  1.8481e+01  1.0665e+02 -8.7337e+01 -2.8467e+01  4.9271e+01 -1.4709e+02 -2.5886e+01  5.6099e+01 -9.5434e+01 -9.4013e+01  1.7803e+02 -6.9637e+01 -1.3990e+02  1.5910e+02
 -1.5057e+04  3.5630e+03  2.6938e+03  5.8858e+04 -4.1436e+03 -6.2372e+03  7.2060e+03 -2.5908e+04 -1.9915e+04  1.0858e+03  1.2984e+04  1.6287e+04 -1.2120e+03  1.8387e+03  1.1593e+02  4.3817e+02  6.5236e+02 -6.1311e+02  2.0596e+03 -1.1698e+03  5.6846e+02  2.3414e+02  3.2724e+02  1.5579e+03  3.0858e+02 -1.1152e+02 -5.8583e+02  1.0877e+02 -4.2517e+01 -6.0765e+02 -8.1635e+02 -2.3847e+02 -5.2159e+01 -5.7545e+02  1.5217e+02 -1.2202e+02  2.9170e+02  1.8420e+02 -7.2362e+01  1.3298e+02  2.8502e+02 -2.6053e+02 -1.9777e+03  1.0641e+01  5.2187e+02  9.6100e+02 -4.3774e+03 -1.4047e+03 -4.4378e+02  1.1577e+03 -6.0874e+02  1.5561e+02 -1.8231e+01 -2.0526e+02 -3.8750e+02 -1.2764e+02  4.6931e+02 -2.7012e+02  1.9465e+02  2.8665e+02  3.6885e+02  2.1957e+02 -1.1426e+02 -3.2718e+02 -2.5266e+02  1.4380e+02 -4.6580e+02 -4.9083e+02  8.8860e+01  2.2811e+02  1.1808e+02  3.8740e+02 -1.3803e+02 -4.0002e+02 -1.0468e+03 -8.3995e+02 -1.3234e+02 -6.7734e+02 -6.1780e+02  1.1557e+02  8.5759e+01  1.3237e+02 -3.5478e+02 -1.4115e+01 -4.5943e+00 -3.8550e+02 -2.1029e+02
  1.6738e+03 -6.0467e+04 -3.2125e+04 -4.1436e+03  2.2568e+05  1.2172e+05  3.8809e+03 -7.0660e+03 -4.7768e+03 -3.9797e+03 -8.8473e+03 -1.0689e+04  5.2565e+02  3.2324e+03  8.2253e+02 -9.8064e+02 -1.9658e+01  1.3876e+03 -1.9776e+03 -8.7766e+02  3.5823e+03  1.3601e+03  1.3207e+03  7.7033e+02 -5.8659e+01 -9.5815e+02 -3.6650e+02 -6.5742e+02 -5.1173e+02 -8.4699e+01  1.2954e+03  1.1164e+03 -2.1848e+02  1.1856e+02  1.1109e+01  2.7124e+02  4.8587e+02  2.7789e+02 -3.9046e+02 -1.7758e+02  1.1539e+02 -1.6596e+02 -7.2027e+02  3.4540e+02  9.4336e+02 -3.0981e+03 -3.6880e+02  1.2064e+03  2.2181e+03  3.7281e+03 -7.7057e+02 -1.4115e+02 -5.6704e+01 -3.8283e+01  6.0506e+01  6.6071e+00  1.2955e+02  1.6465e+02  3.3416e+02  1.3495e+02 -7.9508e+01 -5.4270e+01 -9.9799e+00 -2.7511e+01 -1.7958e+01  5.0689e+01 -6.9075e+01  2.3000e+01 -4.0339e+01  4.5016e+01 -5.9582e+01  5.6137e+01 -3.8111e+01 -3.1685e+01 -2.0664e+02 -2.5689e+02  1.8847e+02 -4.0709e+01  8.7244e+01  1.2516e+00  7.8808e+01  4.7203e+01  2.0699e+02 -4.2331e+01 -5.4765e+02  3.4278e+02 -1.2714e+01
  6.2006e+02 -3.3130e+04 -3.7465e+04 -6.2372e+03  1.2172e+05  1.5749e+05  4.5778e+02  4.2476e+03  1.8100e+03  8.4494e+02  1.3519e+04  9.4552e+03  9.2702e+02 -7.1829e+03 -5.7456e+03 -5.2405e+02 -1.5109e+01  6.1779e+02  1.2768e+03  2.5295e+03 -4.2624e+03  4.1667e+02  1.2912e+02 -1.0076e+03 -3.2738e+02 -1.7689e+02  1.4837e+02 -5.7332e+02 -1.4260e+02  2.5385e+02  2.1663e+03  5.5704e+02  7.6065e+01 -2.6568e+02  3.9794e+02 -1.5333e+02 -2.2674e+02 -1.2306e+02  5.4047e+01 -1.6688e+01 -2.7037e+02  3.1153e+02  3.6358e+02  1.1743e+03 -8.6127e+02 -2.3457e+03  5.3205e+02  1.3691e+03  7.2388e+02 -2.9215e+02 -1.8531e+03 -1.1176e+02 -5.3011e+01  2.0516e+00  1.2370e+02  4.3619e+01  3.8670e+01  2.8544e+02  1.6714e+02 -3.9971e+01 -2.5674e+02 -1.0018e+02 -4.7442e+01  2.6067e+02  1.4380e+02  1.1267e+02  2.7454e+02  1.8382e+02  5.9731e+01 -3.7709e+01 -1.7558e+01 -6.0843e+01  9.2401e+01  4.3848e+01  8.3065e+01  2.6008e+02  8.3065e+01  2.4479e+02  1.4641e+02  7.9253e+01  8.3223e+01  2.5698e+01  2.1579e+01 -1.0048e+02 -1.5655e+02  1.1016e+02  1.4497e+01
 -7.3183e+04 -2.8665e+04 -5.0459e+02  7.2060e+03  3.8809e+03  4.5778e+02  2.7806e+05  1.1087e+05 -3.2578e+03 -1.3410e+04 -1.3272e+04  2.4693e+03 -1.5279e+03 -5.6762e+02  7.7227e+02  7.7676e+02  1.1086e+03 -1.5171e+03  1.5903e+03  3.3799e+02 -1.9821e+03 -1.5720e+02 -2.9817e+02  7.4939e+02  6.6426e+01 -5.2340e+00 -1.8576e+02  2.6433e+02  1.5007e+02 -5.8327e+02 -1.2913e+03 -7.4939e+02  8.9042e+02  1.7179e+02  1.1320e+02  4.4191e+00  1.6383e+02 -2.3139e+02  3.0162e+02  2.5492e+02  3.9922e+02 -1.0573e+02 -2.0042e+02  4.1715e+02  2.7332e+02  4.5089e+02 -4.4621e+01 -7.9577e+01  4.6805e+02 -2.4578e+02 -3.9964e+02  2.5384e+02  4.6237e+01 -9.0922e+01 -4.4352e+02 -4.7836e+01  2.3996e+02 -2.6583e+02 -1.0181e+02  6.2837e+01  4.2877e+02  2.3138e+02 -4.3493e+01 -3.5335e+02 -2.3208e+02 -3.3714e+01 -5.2988e+02 -4.5905e+02  1.0906e+02  1.9878e+02  1.2167e+02  2.8470e+02 -3.2344e+02 -3.1401e+02 -7.4352e+02 -3.9485e+02 -6.4712e+01 -5.1239e+02 -2.4839e+02  1.0039e+03  1.9652e+02  3.7002e+03 -1.3048e+03  6.7509e+02 -7.7433e+02  2.0305e+03  6.3126e+02
 -2.8782e+04 -3.1850e+04 -4.9416e+02 -2.5908e+04 -7.0660e+03  4.2476e+03  1.1087e+05  1.2172e+05 -1.0619e+03  2.1316e+04  1.4760e+04 -1.8466e+03 -1.6673e+03 -1.6671e+03  2.1325e+02  6.5342e+02  1.2705e+03 -1.2457e+03  2.0758e+02  2.4142e+02 -6.8390e+02 -3.2444e+02  5.1521e+02  6.3824e+02 -8.5593e+01  3.5862e+01 -5.1826e+01  1.0808e+02 -1.7867e+01 -2.4288e+02 -6.5346e+02 -1.6153e+02  2.9267e+02  1.7055e+02 -7.2695e+02  2.0687e+02  2.7607e+02  3.3476e+02 -2.5169e+02  1.5412e+02  3.6722e+02 -1.8195e+02  2.4682e+02 -3.1022e+02 -2.2582e+02  1.7234e+02  4.0104e+02  2.8079e+02  2.4808e+02 -1.9747e+01  6.9568e+01  4.6104e+01 -8.8277e+01 -5.5096e+01 -1.0932e+02  8.9841e+01  2.1705e+02 -5.4494e+00  2.1270e+02  7.0911e+01  1.9744e+02  9.2381e+01 -4.9733e+00 -1.8090e+02 -1.4421e+02 -4.4043e+01 -2.5706e+02 -1.6669e+02  2.4145e+01  1.1925e+02  3.6734e+01  1.3064e+02 -1.9140e+02 -1.5776e+02 -3.6254e+02 -2.5519e+02 -7.9512e+01 -2.3321e+02  1.0075e+03 -1.5613e+03 -8.4250e+01 -1.1387e+03 -1.5258e+03 -3.7947e+02  1.7502e+03  2.7360e+03  1.2962e+03
  3.9785e+01 -2.3222e+02 -1.4869e+04 -1.9915e+04 -4.7768e+03  1.8100e+03 -3.2578e+03 -1.0619e+03  6.3320e+04 -9.1263e+03 -8.7629e+03 -9.4486e+02  9.0037e+03  4.5204e+03 -3.1460e+02 -6.1760e+02 -7.0553e+02  8.1189e+02 -7.5241e+02 -5.2711e+02  1.0896e+03 -1.4390e+02  2.0415e+02 -1.5900e+03 -1.6245e+02 -1.0329e+02  2.3935e+02  2.2258e+02  1.9740e+02 -5.0631e+01  3.9933e+02 -1.8710e+02 -1.3780e+02 -2.3236e+01  3.2056e+02 -1.5450e+02 -2.6328e+02 -1.8444e+02  1.0266e+02 -8.5629e+01 -3.0681e+02  3.1699e+02  2.7257e+02 -3.5785e+02 -2.0578e+02 -2.0720e+02  2.1505e+02 -6.3576e+00 -1.9882e+02  7.9668e+01  2.6099e+02 -2.2609e+01 -6.0104e+01 -7.4199e+00  2.1886e+01  6.5184e+01  1.2479e+02  1.3955e+02  1.6784e+02 -8.1043e+01 -1.9106e+01 -6.8838e+00 -4.6104e+01  9.6011e+01  4.9305e+01  1.0021e+02  1.3220e+02  7.3863e+01  5.9961e+01  1.2209e+01  1.7916e+01  2.2076e+01  3.4691e+01 -3.1731e+01 -5.6864e+01  9.9276e+00 -1.0885e+01 -1.1001e+02  5.1298e+01 -1.5980e+02 -8.0395e+02  5.7768e+02  1.8671e+02 -4.1602e+02  9.7296e+02  8.8613e+02 -2.3798e+02
 -4.6155e+04  2.6599e+04 -1.5262e+04  1.0858e+03 -3.9797e+03  8.4494e+02 -1.3410e+04  2.1316e+04 -9.1263e+03  1.7684e+05 -1.0039e+05  6.1070e+04  1.9542e+03 -1.6843e+03 -3.4087e+02 -7.1821e+01 -5.1210e+02  2.2130e+03 -1.6478e+01 -3.0467e+02  3.5333e+02  1.6669e+03  3.1237e+01  1.2558e+03 -6.7364e+02  3.7301e+02 -3.2045e+02 -5.8068e+02 -2.4594e+02 -1.2319e+02  4.9969e+02  2.3400e+02 -9.7423e+01 -5.6673e+02 -1.4227e+03  5.1758e+02 -3.2832e+03 -1.0288e+03  1.5673e+03  3.7406e+03 -1.4331e+03 -2.0863e+03 -2.7580e+01 -2.1398e+02  6.5539e+01  4.8228e+02 -3.0925e+01 -2.6579e+02  5.4083e+01 -2.2052e+02 -4.2499e+02  2.8557e+02  1.8845e+02 -3.2880e+02  2.1596e+01 -2.1084e+02  4.9386e+02 -6.5360e+01 -5.0651e+02  1.1213e+02  1.4250e+02  2.0930e+02 -1.1433e+02 -1.1520e+02 -2.9414e+02  1.9671e+02 -3.1476e+02 -4.5849e+02  6.8729e+01  8.4310e+01  2.0228e+02  2.8216e+02  1.4504e+01 -2.7228e+02 -7.6410e+02 -2.2134e+02 -3.3141e+02 -3.8913e+02 -5.0840e+01 -2.9143e+02  6.8696e+01 -2.1507e+02 -3.8906e+02 -2.0161e+02  4.9041e+01  1.4779e+02 -2.2110e+01
